"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.404802322E-2,5.238309123E1,4.897792303E0,-1.501084685E0,NaN,NaN,1.394482353E3,6.033042526E1
4.757241011E-1,5.238513568E1,4.905913988E0,2.381316066E0,NaN,NaN,3.100000000E1,3.000000000E1
6.313592076E0,5.238472781E1,4.905942343E0,7.735862732E-1,8.399999738E-1,2.299218750E2,2.921098957E1,3.000000000E0
7.313649058E0,5.238459210E1,4.905978804E0,8.861961365E-1,8.399999738E-1,2.939062500E2,3.185442187E1,3.000000000E0
8.311318994E0,5.238469533E1,4.905795744E0,1.490261078E0,1.250000000E0,2.141015625E2,2.676740099E1,3.000000000E0
9.313187003E0,5.238474901E1,4.905702788E0,5.343894958E-1,1.990000010E0,2.601562500E2,2.456648360E1,3.000000000E0
1.031142914E1,5.238485986E1,4.905604050E0,-3.946304321E-2,3.269999981E0,2.700000000E2,2.550705220E1,3.000000000E0
1.137044513E1,5.238471368E1,4.905578485E0,5.629539490E-1,3.099999905E0,2.323828125E2,1.330271263E1,3.000000000E0
1.237540114E1,5.238525717E1,4.905250920E0,-4.097629547E0,3.200000048E0,2.496093750E2,1.137915086E1,3.000000000E0
1.298694265E1,5.238503400E1,4.905294674E0,-3.288120270E0,3.200000048E0,2.267578125E2,9.447424334E0,3.000000000E0
1.398759580E1,5.238497713E1,4.905415289E0,-1.968601227E0,3.190000057E0,2.320312500E2,7.969065455E0,3.000000000E0
1.498889565E1,5.238493903E1,4.905291237E0,-1.772434235E0,3.670000076E0,2.362500000E2,6.224343490E0,3.000000000E0
1.599016392E1,5.238491757E1,4.905253099E0,-1.300266266E0,3.289999962E0,2.415234375E2,6.047412079E0,3.000000000E0
1.699135005E1,5.238489779E1,4.905231474E0,-1.268344879E0,3.289999962E0,2.351953125E2,5.974812319E0,3.000000000E0
1.799249482E1,5.238488092E1,4.905191798E0,-1.268343965E0,3.289999962E0,2.351952811E2,5.974812319E0,3.000000000E0
1.899352169E1,5.238485961E1,4.905173248E0,-1.571627715E0,3.170000076E0,2.387109060E2,6.102905596E0,3.000000000E0
