Interval,LA_X,LA_Y,LA_Z,A_X,A_Y,A_Z,G_X,G_Y,G_Z,Lat,Long,Height,V,Dir,Hor_Acc,Vert_Acc
21.0,0.12108961180859999,-0.2238822851958,-0.5680816115591,-2.736701080018812,-3.8236397892249507,7.7803676718712875,0.1441160025721,-0.002723189299380002,0.1285416630707797,52.38481079,4.905105871,-1.280306792,3.410000086,231.328094,5.614307052,3.0
22.0,-0.36065726010287125,-0.6314668673595148,-0.06823379941686139,-3.540771427902,-5.5084401397876,7.39562272332,0.5005716880634653,-0.17579353686459404,0.18613890774475247,52.38479627,4.905063647,-1.397555318,3.430000067,239.7655905,5.536944322,3.0
23.0,-0.74655992735458,-0.5646395851896,-0.40740769172591995,-3.273930934471495,-5.335670752193564,7.489824829138613,-0.5445306376123,0.006946190560702,0.06243778780806,52.3847931,4.905041086,-1.644992309,2.400000095,248.5546615,5.719137263,3.0
24.0,0.5055780917206099,-0.3248259835623267,-0.21290829527764357,-2.766175708003,-3.8966398956402797,7.963176489249999,-0.13113299727065902,0.1250287051441931,-0.2186942601681188,52.38479557,4.905000847,-1.8923677,2.650000095,262.6171569,5.932604997,3.0
25.0,-0.30151382833859,-0.35969516922886,-0.5688156768578,-3.094431097473,-4.14595095062,7.55126456454,0.4469567692,-0.1353140650117,0.33470396163947,52.38479651,4.904959774,-2.097689965,2.650000095,263.6718444,6.753413507,3.0
26.0,-0.7442475173152999,-0.62154445258086,-0.06538338414629999,-4.0136644329108915,-6.023917259019802,7.299764615811881,-0.0198509779485,-0.126278615264696,0.04757417335495,52.38478877,4.904913226,-2.550082543,2.650000095,258.3984073,6.404063805,3.0
27.0,-0.2279226482679208,-0.5758330778012871,-0.5308743768175337,-3.1496662353210003,-4.37704937886243,7.530317124995,-0.425907118399802,0.2747016404470297,-0.05591649984851485,52.38477426,4.904854064,-2.525790205,3.380000114,252.7733999,6.439598646,3.0
28.0,-0.3090696764315,-0.12695761649259998,-0.5900666863317,-3.522003456146,-3.7306141479466,7.570771998500001,0.28519648091845,-0.1710762472714,0.34422006848192,52.38475727,4.904819503,-2.488253583,3.380000114,243.2812149,6.632848635,3.0
29.0,-0.9388685775969,-0.55546767929575,-0.3600647044995,-4.2674490613762375,-6.262574434207921,6.803792529732673,-0.19185101305587002,-0.1963729166002,0.14827736109109999,52.38475727,4.904819503,-2.488253583,3.380000114,243.2812149,6.632848635,3.0
30.0,0.03631610986449505,-0.07462804085792078,-0.5724711042365247,-3.06013890838,-3.161879338124,7.94543987273,-0.15710308623168315,0.0772731612619703,-0.22557538299623764,52.3847431,4.904799362,-2.35916457,2.660000086,238.0077863,6.952555012,3.0
31.0,-0.9150433650552,-0.5846446217386599,-0.47627796939809003,-3.8169321487500003,-5.298380461120001,7.23746760868,0.49493979270079996,-0.386275498874048,0.5407853027441,52.384726,4.904787504,-2.488925516,2.119999886,228.1640441,6.763240921,3.0
32.0,-0.26688036950484,-0.0915167178396,-0.2379214741067,-3.7736689516930695,-4.574705168454554,7.36653319560396,-0.5437192351686,0.22612624983844,-0.2779411630264,52.38471615,4.904789165,-2.683933089,1.139999986,222.890616,6.618986895,3.0
33.0,0.30826458973960397,-0.2765341370549505,-0.35545259265544554,-3.40728651124,-3.425099468976,7.91650354607,0.20436671670029702,0.039042329129801975,0.2538146505143564,52.38468671,4.904791394,-2.362033525,1.789999962,196.1718692,6.548496524,3.0
34.0,-0.55681184013945,-0.265707153469228,0.15142047303264,-4.45929584656,-6.06339759977,6.929289967360001,0.0933943238152,-0.17448272103402002,-0.025130801391480002,52.3846502,4.904822443,-1.76193587,1.789999962,165.5859427,5.796436103,3.0
35.0,0.1423755042932,-0.21720095950487997,-0.41563150817134004,-3.0650277271534656,-3.6215111081270295,7.8109723459306935,-0.37257843345319996,0.14440942431914,-0.07826448058999999,52.38460166,4.904875181,-1.864230313,3.049999952,150.1172052,5.033239743,3.10768952
36.0,-0.28426574963841583,-0.20922538130950497,-0.5984291408130396,-3.69421733551,-3.9992679794878,7.309671459910001,0.39383623966909903,-0.18078051131784156,0.4889243452383465,52.38455115,4.904928927,-1.285128275,3.920000076,147.6562744,4.791955777,3.295708856
37.0,-0.17842370134353,-0.37170841556739,0.4055233153743,-4.55721921386,-5.89209682157,7.05048843389,-0.17967539081884001,0.1591611390453246,-0.17167032931961,52.38450569,4.904980905,-0.7068201145,4.010000229,144.1406523,4.706467754,3.416679428
