"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.066117883E0,5.212058902E1,4.291948238E0,5.272644043E0,0.000000000E0,3.491015625E2,3.535533906E0,4.000000000E0
4.066117048E0,5.212058520E1,4.291951759E0,5.983276367E0,0.000000000E0,3.491015625E2,3.535533906E0,4.000000000E0
5.066116095E0,5.212058437E1,4.291953687E0,6.939880371E0,0.000000000E0,3.491015625E2,3.535533906E0,4.000000000E0
6.066116333E0,5.212058789E1,4.291947233E0,5.358703613E0,0.000000000E0,3.491015625E2,3.535533906E0,4.000000000E0
7.066115022E0,5.212058877E1,4.291948657E0,5.530517578E0,0.000000000E0,3.491015625E2,3.535533906E0,4.000000000E0
8.066115618E0,5.212058856E1,4.291948909E0,5.586364746E0,0.000000000E0,3.491015625E2,3.673085512E0,6.000000000E0
9.066115618E0,5.212058856E1,4.291948909E0,5.583190918E0,0.000000000E0,3.491015625E2,4.101455255E0,6.000000000E0
1.006611407E1,5.212058860E1,4.291948993E0,5.568237305E0,0.000000000E0,3.491015625E2,5.175892119E0,6.000000000E0
1.106611264E1,5.212058893E1,4.291948909E0,5.604614258E0,0.000000000E0,3.491015625E2,6.468235712E0,6.000000000E0
1.206611156E1,5.212058906E1,4.291948406E0,5.462524414E0,0.000000000E0,3.491015625E2,7.792438763E0,6.000000000E0
1.306610572E1,5.212058906E1,4.291948406E0,5.471618652E0,0.000000000E0,3.491015625E2,9.010353979E0,6.000000000E0
1.406610191E1,5.212058931E1,4.291948406E0,5.419006348E0,0.000000000E0,3.491015625E2,1.000549638E1,6.000000000E0
1.506610274E1,5.212058931E1,4.291948406E0,5.626915045E0,0.000000000E0,NaN,1.000549638E1,6.000000000E0
1.606609762E1,5.212058919E1,4.291948657E0,5.654686042E0,0.000000000E0,NaN,1.125834527E1,6.000000000E0
1.706609297E1,5.212058906E1,4.291948574E0,5.648033210E0,0.000000000E0,NaN,1.243593872E1,6.000000000E0
1.806608689E1,5.212058910E1,4.291948741E0,5.624046394E0,0.000000000E0,NaN,1.337119926E1,6.000000000E0
1.906608582E1,5.212058885E1,4.291948993E0,5.673912116E0,0.000000000E0,NaN,1.388197909E1,6.000000000E0
2.006608629E1,5.212058885E1,4.291948993E0,5.666526861E0,0.000000000E0,NaN,1.397935207E1,6.000000000E0
2.106608653E1,5.212058906E1,4.291948657E0,5.724815437E0,0.000000000E0,NaN,1.331863920E1,6.000000000E0
2.206608808E1,5.212058910E1,4.291948657E0,5.724327156E0,0.000000000E0,NaN,1.387380715E1,6.000000000E0
2.306608880E1,5.212058919E1,4.291948490E0,5.742576668E0,0.000000000E0,NaN,1.453765999E1,6.000000000E0
2.406608903E1,5.212058919E1,4.291948490E0,5.744651862E0,0.000000000E0,NaN,1.516698215E1,6.000000000E0
2.506609046E1,5.212058927E1,4.291948406E0,5.763877935E0,0.000000000E0,NaN,1.509384288E1,6.000000000E0
2.606609070E1,5.212058919E1,4.291948406E0,5.753624030E0,0.000000000E0,NaN,1.571084791E1,6.000000000E0
2.706609178E1,5.212058919E1,4.291948406E0,5.752769539E0,0.000000000E0,NaN,1.605415659E1,6.000000000E0
2.806609201E1,5.212058931E1,4.291948238E0,5.742149420E0,0.000000000E0,NaN,1.262495363E1,6.000000000E0
2.906609273E1,5.212058952E1,4.291947735E0,5.719444342E0,0.000000000E0,NaN,1.162077097E1,6.000000000E0
3.006609380E1,5.212058969E1,4.291947568E0,5.689415047E0,0.000000000E0,NaN,1.168810483E1,6.000000000E0
3.106609392E1,5.212058969E1,4.291947484E0,5.654808112E0,0.000000000E0,NaN,1.142219839E1,6.000000000E0
3.206609464E1,5.212058969E1,4.291947484E0,5.659996101E0,0.000000000E0,NaN,1.133730104E1,6.000000000E0
3.306609511E1,5.212058969E1,4.291947484E0,5.662254401E0,0.000000000E0,NaN,1.248141238E1,6.000000000E0
3.406609595E1,5.212058981E1,4.291947233E0,5.651634282E0,0.000000000E0,NaN,1.252911253E1,6.000000000E0
3.506609619E1,5.212058655E1,4.291932732E0,5.976947851E0,0.000000000E0,NaN,1.329150268E1,6.000000000E0
3.606609643E1,5.212059584E1,4.291779140E0,1.966965183E1,9.204540931E-1,NaN,5.686193626E1,1.730102877E1
3.706609643E1,5.212059877E1,4.291771719E0,1.965908770E1,8.955740905E-1,NaN,6.238261411E1,1.484278572E1
3.806609762E1,5.212060102E1,4.291762907E0,2.027596410E1,8.955573656E-1,NaN,6.836475280E1,1.513728395E1
3.906609774E1,5.212053193E1,4.291760629E0,2.202364970E1,9.206380789E-1,NaN,7.293081720E1,1.420601137E1
4.006609809E1,5.212051877E1,4.291901605E0,1.231845071E1,7.276169492E-1,NaN,6.646493630E1,1.366491005E1
4.106609786E1,5.212052073E1,4.291931376E0,1.371137478E1,8.210970745E-1,NaN,5.834842128E1,1.354035202E1
4.206609881E1,5.212059949E1,4.291943455E0,1.230705499E1,5.613754220E-1,NaN,6.054064040E1,1.349043565E1
4.306610274E1,5.212071719E1,4.292001057E0,1.377024823E1,1.264956047E0,NaN,5.693437782E1,1.349019844E1
4.406609941E1,5.212070574E1,4.292060039E0,1.289912420E1,1.305170170E0,NaN,5.964919087E1,1.349593955E1
4.506609929E1,5.212069629E1,4.291989711E0,1.181381430E1,7.796247256E-1,NaN,6.094532440E1,1.349844808E1
