"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.143320600E-2,-5.244000435E0,5.835000515E0,8.995950699E0
4.541285400E-2,-5.518950462E0,5.848950386E0,8.994000435E0
4.889928300E-2,-5.787000179E0,5.904000282E0,9.079950333E0
5.139189900E-2,-6.052950382E0,5.847000122E0,9.283050537E0
5.387867000E-2,-6.348000526E0,5.823000431E0,9.577950478E0
5.636889600E-2,-6.529050350E0,5.737050056E0,9.895950317E0
5.885797300E-2,-6.654000282E0,5.722950459E0,1.016205025E1
6.134777100E-2,-6.687000275E0,5.584050179E0,1.038900089E1
6.383735700E-2,-6.561000347E0,5.314950466E0,1.058295059E1
6.632693400E-2,-6.268050194E0,5.152950287E0,1.077705097E1
6.881651300E-2,-6.067050457E0,5.071050167E0,1.093995094E1
7.130618300E-2,-5.881050110E0,4.947000027E0,1.101195049E1
7.379582300E-2,-5.578950405E0,4.879950047E0,1.108605099E1
7.628552500E-2,-5.292000294E0,4.791000366E0,1.117005062E1
7.877520800E-2,-5.014050007E0,4.663950443E0,1.126800060E1
8.126476700E-2,-4.675950050E0,4.518000126E0,1.129500008E1
8.375436300E-2,-4.389000416E0,4.333950043E0,1.132800007E1
8.624402100E-2,-4.102050304E0,4.102050304E0,1.131405067E1
8.873366400E-2,-3.730950117E0,3.802050114E0,1.133295059E1
9.122336500E-2,-3.453000069E0,3.559950113E0,1.126800060E1
9.371304900E-2,-3.168000221E0,3.358950138E0,1.118700027E1
9.620260900E-2,-2.935950041E0,3.124950171E0,1.099995041E1
9.869220500E-2,-2.706000090E0,2.971050024E0,1.072005081E1
1.011818720E-1,-2.416050196E0,2.739000082E0,1.044000053E1
1.036715150E-1,-2.188950062E0,2.611950159E0,1.019295025E1
1.061610820E-1,-1.975950122E0,2.536050081E0,1.004700089E1
1.086506710E-1,-1.746000051E0,2.478000164E0,9.898950577E0
1.111403800E-1,-1.591950059E0,2.466000080E0,9.706950188E0
1.136300540E-1,-1.449000120E0,2.416050196E0,9.550950050E0
1.161197290E-1,-1.333950043E0,2.422950029E0,9.216000557E0
1.186093870E-1,-1.329000115E0,2.454000235E0,8.998050690E0
1.210990840E-1,-1.333950043E0,2.478000164E0,8.974050522E0
1.235887700E-1,-1.333950043E0,2.526000023E0,8.781000137E0
1.260783290E-1,-1.438950062E0,2.563950062E0,8.677950859E0
1.285679260E-1,-1.494000077E0,2.598000050E0,8.740050316E0
1.310575790E-1,-1.570950031E0,2.655000210E0,8.694000244E0
1.335472220E-1,-1.666950107E0,2.725050211E0,8.650950432E0
1.360369220E-1,-1.755000114E0,2.770050049E0,8.680050850E0
1.385266060E-1,-1.819950104E0,2.818050146E0,8.613000870E0
1.410161660E-1,-1.947000146E0,2.902050257E0,8.437950134E0
1.435057620E-1,-2.040000200E0,2.968950033E0,8.211000443E0
1.459954110E-1,-2.116950035E0,3.085950136E0,8.026050568E0
1.484850540E-1,-2.239050150E0,3.144000053E0,7.927950382E0
1.509747540E-1,-2.337000132E0,3.252000093E0,7.798950195E0
1.534644380E-1,-2.430000067E0,3.357000113E0,7.746000290E0
1.559539980E-1,-2.476050138E0,3.462000132E0,7.765050411E0
1.584435940E-1,-2.560050011E0,3.541050196E0,7.834950447E0
1.609332920E-1,-2.659950018E0,3.607950211E0,7.822950363E0
1.634229670E-1,-2.730000019E0,3.673050165E0,7.749000549E0
1.659126180E-1,-2.782050133E0,3.742050171E0,7.863000393E0
1.684022770E-1,-2.814000130E0,3.754050255E0,8.151000023E0
1.708918400E-1,-2.854050159E0,3.762000084E0,8.380949974E0
1.733814310E-1,-2.842050076E0,3.739950180E0,8.560050011E0
1.758710740E-1,-2.830050230E0,3.691950083E0,8.601000786E0
1.783607160E-1,-2.755950212E0,3.639000177E0,8.493000031E0
1.808504170E-1,-2.662950039E0,3.594000101E0,8.407050133E0
1.833401010E-1,-2.548050165E0,3.529050112E0,8.305950165E0
1.858296610E-1,-2.373000145E0,3.412050247E0,8.151000023E0
1.883192570E-1,-2.167050123E0,3.343050241E0,7.969050407E0
