"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,5.237377530E1,4.837634700E0,2.410783578E0,NaN,NaN,5.470000076E1,3.684123516E0
0.000000000E0,5.237377530E1,4.837634700E0,2.410783578E0,NaN,NaN,5.470000076E1,3.684123516E0
1.241492758E0,5.237483500E1,4.836891667E0,3.511183449E1,1.479311705E0,2.620599976E2,5.699999809E0,3.609999847E1
1.741492758E0,5.237480667E1,4.836930000E0,3.621181706E1,1.285261393E0,2.713599854E2,3.799999952E0,1.839999962E1
2.241492758E0,5.237480500E1,4.836940000E0,3.621182053E1,1.144742250E0,2.851799927E2,3.000000000E0,1.770000076E1
2.741492758E0,5.237480333E1,4.836958333E0,3.641182883E1,8.601008058E-1,3.046799927E2,2.700000048E0,1.720000076E1
3.241492758E0,5.237480833E1,4.837015000E0,3.591186873E1,1.019150019E0,3.079299927E2,2.400000095E0,1.550000000E1
4.241492758E0,5.237480833E1,4.837040000E0,3.591188324E1,6.840658188E-1,3.447099915E2,2.200000048E0,1.369999981E1
5.241492758E0,5.237480500E1,4.837060000E0,3.611189018E1,2.825824916E-1,3.447099915E2,2.299999952E0,1.339999962E1
6.241492758E0,5.237480333E1,4.837080000E0,3.641189946E1,2.985388935E-1,3.447099915E2,2.200000048E0,1.380000019E1
7.241492758E0,5.237480167E1,4.837091667E0,3.681190389E1,2.089772224E-1,3.447099915E2,2.299999952E0,1.389999962E1
8.241492758E0,5.237480167E1,4.837098333E0,3.731190776E1,3.299369514E-1,2.453699951E2,2.299999952E0,1.300000000E1
9.241492758E0,5.237480333E1,4.837098333E0,3.771191010E1,3.947919309E-1,2.284799957E2,2.200000048E0,1.280000019E1
1.024149276E1,5.237480500E1,4.837101667E0,3.821191437E1,1.508136094E-1,2.284799957E2,2.200000048E0,1.219999981E1
1.124149276E1,5.237480667E1,4.837098333E0,3.871191477E1,4.534702897E-1,2.936900024E2,2.200000048E0,1.160000038E1
1.224149276E1,5.237480500E1,4.837091667E0,3.921190856E1,8.914988637E-1,3.042600098E2,2.200000048E0,1.060000038E1
1.324149276E1,5.237480167E1,4.837095000E0,3.861190583E1,8.039960861E-1,3.499100037E2,2.099999905E0,1.039999962E1
1.424149276E1,5.237480500E1,4.837101667E0,3.801191437E1,1.670273662E0,2.234000015E1,2.099999905E0,1.069999981E1
1.558749276E1,5.237481500E1,4.837105000E0,3.731193031E1,1.434530854E0,2.089999914E0,2.099999905E0,1.110000038E1
1.608749276E1,5.237481500E1,4.837100000E0,3.661192741E1,1.880280256E0,3.564500122E2,2.000000000E0,1.139999962E1
1.658749276E1,5.237481500E1,4.837096667E0,3.621192547E1,2.214849710E0,9.000000000E0,2.000000000E0,1.189999962E1
1.708749276E1,5.237481333E1,4.837096667E0,3.581192314E1,1.860206127E0,9.000000000E0,2.000000000E0,1.180000019E1
1.758749276E1,5.237480833E1,4.837095000E0,3.531191517E1,2.507726669E0,9.000000000E0,1.899999976E0,1.189999962E1
1.858749276E1,5.237484500E1,4.837105000E0,3.471197233E1,2.994653940E0,9.000000000E0,1.799999952E0,1.210000038E1
1.958449276E1,5.237485833E1,4.837108333E0,3.431199295E1,2.227717876E0,9.000000000E0,1.700000048E0,1.250000000E1
2.058449276E1,5.237487333E1,4.837111667E0,3.451201589E1,1.955944419E0,9.000000000E0,1.700000048E0,1.269999981E1
2.158449276E1,5.237488500E1,4.837115000E0,3.471203417E1,2.068153858E0,9.000000000E0,1.799999952E0,1.330000019E1
2.258449276E1,5.237489500E1,4.837116667E0,3.481204914E1,2.116023064E0,9.000000000E0,1.799999952E0,1.350000000E1
2.358449276E1,5.237490167E1,4.837120000E0,3.511206042E1,2.169039488E0,9.000000000E0,1.799999952E0,1.389999962E1
2.458449276E1,5.237491000E1,4.837121667E0,3.521207306E1,2.156686068E0,9.000000000E0,1.799999952E0,1.530000019E1
2.558449276E1,5.237493833E1,4.837128333E0,3.511211662E1,2.070727587E0,9.000000000E0,1.799999952E0,1.620000076E1
2.658449276E1,5.237492833E1,4.837130000E0,3.521210358E1,2.044476748E0,4.000000000E0,1.700000048E0,1.679999924E1
2.758749276E1,5.237495167E1,4.837131667E0,3.521213723E1,1.981680512E0,4.000000000E0,1.700000048E0,1.650000000E1
2.858749276E1,5.237497000E1,4.837133333E0,3.531216388E1,1.842190862E0,4.000000000E0,1.700000048E0,1.689999962E1
2.958749276E1,5.237498667E1,4.837136667E0,3.521218916E1,1.749540806E0,4.000000000E0,1.700000048E0,1.720000076E1
3.058749276E1,5.237500333E1,4.837138333E0,3.521221347E1,1.706818938E0,4.000000000E0,1.700000048E0,1.760000038E1
3.158749276E1,5.237502167E1,4.837140000E0,3.531224012E1,1.672847271E0,4.000000000E0,1.700000048E0,1.810000038E1
3.258749276E1,5.237504333E1,4.837141667E0,3.531227144E1,1.646596432E0,4.000000000E0,1.700000048E0,1.500000000E1
3.358749276E1,5.237505500E1,4.837143333E0,3.521228875E1,1.664096951E0,4.000000000E0,1.700000048E0,1.480000019E1
3.458749276E1,5.237507000E1,4.837145000E0,3.561231073E1,1.724834204E0,4.000000000E0,1.700000048E0,1.480000019E1
3.558749276E1,5.237508667E1,4.837146667E0,3.571233504E1,1.843220234E0,4.000000000E0,1.700000048E0,1.419999981E1
3.658749276E1,5.237511333E1,4.837150000E0,3.561237433E1,1.927634716E0,4.000000000E0,1.700000048E0,1.419999981E1
3.758749276E1,5.237512833E1,4.837151667E0,3.551239631E1,1.952341437E0,4.000000000E0,1.700000048E0,1.430000019E1
3.858749276E1,5.237515500E1,4.837155000E0,3.571243560E1,2.029035091E0,4.000000000E0,1.700000048E0,1.439999962E1
3.958749276E1,5.237517000E1,4.837156667E0,3.581245758E1,2.116537809E0,4.000000000E0,1.700000048E0,1.339999962E1
4.058749276E1,5.237519667E1,4.837160000E0,3.611249687E1,2.233379841E0,4.000000000E0,1.700000048E0,1.350000000E1
4.158749276E1,5.237521667E1,4.837161667E0,3.681252585E1,2.327059269E0,4.000000000E0,1.700000048E0,1.389999962E1
4.258649276E1,5.237523500E1,4.837165000E0,3.731255347E1,2.355883598E0,4.000000000E0,1.700000048E0,1.419999981E1
4.358649276E1,5.237525000E1,4.837166667E0,3.761257545E1,2.346103907E0,4.000000000E0,1.700000048E0,1.400000000E1
4.458649276E1,5.237525667E1,4.837166667E0,3.761258478E1,2.286396027E0,4.000000000E0,1.799999952E0,1.430000019E1
4.558649276E1,5.237528000E1,4.837170000E0,3.801261940E1,2.197349072E0,4.000000000E0,1.799999952E0,1.380000019E1
4.658649276E1,5.237528333E1,4.837170000E0,3.831262407E1,2.096463680E0,4.000000000E0,1.899999976E0,1.350000000E1
4.758649276E1,5.237530833E1,4.837173333E0,3.831266103E1,2.038300037E0,4.000000000E0,1.899999976E0,1.369999981E1
4.858649276E1,5.237532667E1,4.837175000E0,3.881268768E1,1.993519187E0,4.000000000E0,1.899999976E0,1.350000000E1
4.958649276E1,5.237535167E1,4.837178333E0,3.951272463E1,1.993004441E0,4.000000000E0,1.899999976E0,1.350000000E1
5.058649276E1,5.237538333E1,4.837181667E0,4.021277093E1,1.923516989E0,4.000000000E0,1.899999976E0,1.360000038E1
5.158649276E1,5.237538333E1,4.837181667E0,4.131277093E1,1.833440542E0,4.000000000E0,1.899999976E0,1.380000019E1
5.258649276E1,5.237542000E1,4.837185000E0,4.211282422E1,1.814910531E0,4.000000000E0,1.899999976E0,1.400000000E1
5.358649276E1,5.237542833E1,4.837186667E0,4.261283686E1,1.790718555E0,4.000000000E0,1.899999976E0,1.330000019E1
5.458649276E1,5.237545167E1,4.837188333E0,4.321287052E1,1.841161370E0,4.000000000E0,1.899999976E0,1.300000000E1
5.558649276E1,5.237548000E1,4.837191667E0,4.351291214E1,1.944105864E0,4.000000000E0,1.799999952E0,1.289999962E1
5.658649276E1,5.237550000E1,4.837195000E0,4.381294209E1,1.953885555E0,4.000000000E0,1.799999952E0,1.289999962E1
5.758649276E1,5.237552167E1,4.837196667E0,4.421297341E1,1.970871329E0,4.000000000E0,1.799999952E0,1.189999962E1
