"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.011154000E-2,3.211050034E-1,-2.226369977E-1,9.164649844E-1
4.708687800E-2,3.061679900E-1,-1.458130032E-1,6.968529820E-1
5.206312700E-2,3.069550097E-1,-5.951299891E-2,4.978420138E-1
5.704161900E-2,2.790049911E-1,1.236500032E-2,2.662810087E-1
6.202062800E-2,2.738659978E-1,6.561700255E-2,1.172619984E-1
6.699968700E-2,3.008750081E-1,1.358390003E-1,-8.324600011E-2
7.197876100E-2,3.442960083E-1,1.381440014E-1,-1.545040011E-1
7.695784800E-2,4.157449901E-1,3.684899956E-2,-2.589240074E-1
8.193697000E-2,4.516949952E-1,-4.223499820E-2,-3.249309957E-1
8.691607400E-2,4.764940143E-1,-1.034910008E-1,-3.618969917E-1
9.189517000E-2,3.824160099E-1,-1.831450015E-1,-3.289940059E-1
9.687424800E-2,2.623159885E-1,-2.246049941E-1,-1.668860018E-1
1.018533240E-1,1.305499971E-1,-2.393070012E-1,-3.624900058E-2
1.068324340E-1,6.301599741E-2,-2.079029977E-1,1.628510058E-1
1.118115110E-1,-8.105800301E-2,-1.784200072E-1,3.684310019E-1
1.167907230E-1,-1.998990029E-1,-8.243100345E-2,4.594700038E-1
1.217697740E-1,-3.021759987E-1,1.665600017E-2,5.012800097E-1
1.267489200E-1,-4.346410036E-1,1.679610014E-1,5.635309815E-1
1.317280660E-1,-5.454450250E-1,2.099989951E-1,6.859899759E-1
1.367071740E-1,-5.683979988E-1,2.722600102E-1,7.591990232E-1
1.416862530E-1,-4.889250100E-1,2.484250069E-1,7.788370252E-1
1.466653300E-1,-2.798109949E-1,1.843370050E-1,7.038419843E-1
1.516444350E-1,-2.838099934E-2,1.235020012E-1,6.120380163E-1
1.566235120E-1,2.053360045E-1,-1.825200021E-2,4.530270100E-1
1.616025880E-1,3.796480000E-1,-1.348299980E-1,3.016920090E-1
1.665816640E-1,5.467309952E-1,-2.076539993E-1,2.404260039E-1
1.715607860E-1,6.362410188E-1,-3.756679893E-1,9.950499982E-2
1.765398900E-1,7.559340000E-1,-4.694899917E-1,-1.944799908E-2
1.815189620E-1,5.861449838E-1,-3.499720097E-1,2.753770053E-1
1.864980400E-1,8.746060133E-1,-5.492569804E-1,-5.298889875E-1
1.914771170E-1,5.141760111E-1,-4.511759877E-1,-7.168759704E-1
1.964562180E-1,4.682770073E-1,-5.036849976E-1,-7.776290178E-1
2.014352950E-1,3.357650042E-1,-2.766160071E-1,-6.048449874E-1
2.064143720E-1,2.063930035E-1,2.557300031E-2,-4.702529907E-1
2.113934590E-1,-4.523200169E-2,2.319760025E-1,-3.092780113E-1
2.163726700E-1,-3.379040062E-1,3.598789871E-1,-4.058900103E-2
2.213518260E-1,-5.413720012E-1,4.596860111E-1,2.975119948E-1
2.263309260E-1,-6.501849890E-1,5.388010144E-1,5.650439858E-1
2.313100060E-1,-7.393969893E-1,5.165290236E-1,6.162509918E-1
2.362890830E-1,-5.472249985E-1,4.111309946E-1,3.334470093E-1
2.412681890E-1,-3.763059974E-1,2.753460109E-1,4.210399836E-2
2.462473100E-1,-1.170179993E-1,1.676419973E-1,-3.140330017E-1
2.512264140E-1,1.040100008E-1,1.056089997E-1,-7.924469709E-1
2.562055250E-1,1.412310004E-1,3.195200115E-2,-1.360293031E0
2.611846030E-1,1.861349940E-1,8.606400341E-2,-1.837061048E0
2.661636750E-1,1.507219970E-1,1.412799954E-1,-1.947355032E0
2.711427520E-1,8.062600344E-2,1.691630036E-1,-2.055095911E0
2.761218290E-1,-9.935899824E-2,1.460849941E-1,-1.955093026E0
2.811009150E-1,-1.649769992E-1,9.472300112E-2,-1.747313976E0
2.860801260E-1,-1.992769986E-1,1.709599979E-2,-1.341017962E0
2.910592820E-1,-2.093140036E-1,4.275000188E-3,-6.819689870E-1
2.960383640E-1,-1.042800024E-1,-1.982400008E-2,-3.754419982E-1
3.010174440E-1,7.596799731E-2,-1.466840059E-1,-4.809750021E-1
3.059965210E-1,2.467149943E-1,-3.085249960E-1,-5.517339706E-1
3.109755980E-1,3.951109946E-1,-3.409399986E-1,-5.815460086E-1
