"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.889928300E-2,-2.972750068E-1,-3.990249932E-1,-4.824874997E-1
5.139189900E-2,-3.632749915E-1,-4.309250116E-1,-4.483875036E-1
5.387867000E-2,-4.335374832E-1,-4.745124876E-1,-4.090625048E-1
5.636889600E-2,-5.047624707E-1,-5.266249776E-1,-3.695999980E-1
5.885797300E-2,-5.781875253E-1,-5.883625150E-1,-3.334375024E-1
6.134777100E-2,-6.527125239E-1,-6.608250141E-1,-2.908124924E-1
6.383735700E-2,-7.293000221E-1,-7.342500091E-1,-2.514874935E-1
6.632693400E-2,-8.102874756E-1,-8.162000179E-1,-2.184875011E-1
6.881651300E-2,-8.826124668E-1,-8.842625022E-1,-1.843875051E-1
7.130618300E-2,-9.486125112E-1,-9.512249827E-1,-1.482249945E-1
7.379582300E-2,-1.015575051E0,-1.016262531E0,-1.194875017E-1
7.628552500E-2,-1.090100050E0,-1.076900005E0,-9.075000137E-2
7.877520800E-2,-1.161462545E0,-1.143862486E0,-6.627500057E-2
8.126476700E-2,-1.223199964E0,-1.215224981E0,-3.973750025E-2
8.375436300E-2,-1.282737494E0,-1.284387469E0,-1.209999993E-2
8.624402100E-2,-1.330587506E0,-1.353549957E0,1.141249947E-2
8.873366400E-2,-1.365787506E0,-1.423812509E0,2.832499892E-2
9.122336500E-2,-1.390262485E0,-1.492974997E0,4.647500068E-2
9.371304900E-2,-1.404012442E0,-1.556774974E0,6.036249921E-2
9.620260900E-2,-1.408275008E0,-1.612187505E0,6.984999776E-2
9.869220500E-2,-1.400849938E0,-1.648350000E0,7.837499678E-2
1.011818720E-1,-1.391362548E0,-1.670762539E0,8.057499677E-2
1.036715150E-1,-1.377475023E0,-1.675987482E0,7.631249726E-2
1.061610820E-1,-1.354099989E0,-1.665400028E0,6.888750196E-2
1.086506710E-1,-1.321099997E0,-1.642987490E0,5.609999970E-2
1.111403800E-1,-1.276412487E0,-1.616449952E0,3.684999794E-2
1.136300540E-1,-1.233787537E0,-1.581249952E0,1.457499992E-2
1.161197290E-1,-1.189100027E0,-1.540825009E0,-9.899999946E-3
1.186093870E-1,-1.138087511E0,-1.490774989E0,-3.863750026E-2
1.210990840E-1,-1.084874988E0,-1.435500026E0,-6.421250105E-2
1.235887700E-1,-1.027400017E0,-1.382287502E0,-8.978749812E-2
1.260783290E-1,-9.688249826E-1,-1.323712468E0,-1.163249984E-1
1.285679260E-1,-9.124500155E-1,-1.275862455E0,-1.376374960E-1
1.310575790E-1,-8.475499749E-1,-1.226912498E0,-1.610125005E-1
