"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.139189900E-2,-3.393815994E0,1.075523019E0,1.139876008E0
5.636889600E-2,-3.709281921E0,1.022513032E0,1.773751020E0
6.134777100E-2,-3.724903107E0,9.575070143E-1,2.266974926E0
6.632693400E-2,-3.195372105E0,6.395580173E-1,2.632422924E0
7.130618300E-2,-2.747584105E0,5.752069950E-1,2.812930107E0
7.628552500E-2,-2.141485929E0,5.732970238E-1,2.897399902E0
8.126476700E-2,-1.559306026E0,4.593450129E-1,2.930407047E0
8.624402100E-2,-1.064965010E0,2.106020004E-1,2.841056108E0
9.122336500E-2,-5.353599787E-1,-1.506209970E-1,2.673924923E0
9.620260900E-2,-1.761769950E-1,-3.910509944E-1,2.272563934E0
1.011818720E-1,1.644849926E-1,-5.774989724E-1,1.580679059E0
1.061610820E-1,4.148389995E-1,-5.861840248E-1,1.064700961E0
1.111403800E-1,6.013590097E-1,-4.761250019E-1,6.145809889E-1
1.161197290E-1,6.615229845E-1,-3.631829917E-1,2.930100076E-2
1.210990840E-1,4.748480022E-1,-1.802690029E-1,-2.888289988E-1
1.260783290E-1,2.128870040E-1,3.984999843E-3,-6.425179839E-1
1.310575790E-1,-3.894300014E-2,1.606629938E-1,-6.640939713E-1
1.360369220E-1,-3.138850033E-1,3.182249963E-1,-7.041429877E-1
1.410161660E-1,-5.662270188E-1,4.691280127E-1,-9.601430297E-1
1.459954110E-1,-7.662850022E-1,6.449289918E-1,-1.374138951E0
1.509747540E-1,-9.867560267E-1,7.683079839E-1,-1.590687037E0
1.559539980E-1,-1.098881960E0,9.148269892E-1,-1.603119969E0
1.609332920E-1,-1.245610952E0,9.801840186E-1,-1.517727971E0
1.659126180E-1,-1.319332957E0,1.028931022E0,-1.445119023E0
1.708918400E-1,-1.338575959E0,9.592869878E-1,-8.931660056E-1
1.758710740E-1,-1.274996996E0,8.224660158E-1,-6.456789970E-1
1.808504170E-1,-1.079156995E0,6.728870273E-1,-8.186969757E-1
1.858296610E-1,-7.699180245E-1,4.430719912E-1,-1.056226015E0
1.908089340E-1,-3.532179892E-1,2.500239909E-1,-1.353711963E0
1.957882780E-1,-1.754100062E-2,5.078500137E-2,-1.471467972E0
2.007674880E-1,1.689320058E-1,-1.707759947E-1,-1.368329048E0
2.057467920E-1,2.808049917E-1,-2.789070010E-1,-1.419831991E0
2.107261180E-1,3.199619949E-1,-4.842059910E-1,-1.416172981E0
2.157053190E-1,2.362769991E-1,-5.689640045E-1,-1.532490015E0
2.206846190E-1,1.810099930E-1,-5.340129733E-1,-1.628515959E0
2.256639490E-1,8.766400069E-2,-3.280549943E-1,-1.483502030E0
2.306433040E-1,5.194099993E-2,-4.242999852E-2,-8.340650201E-1
2.356225490E-1,5.253599882E-1,5.706200004E-2,-8.777080178E-1
2.406018040E-1,2.930409908E-1,2.291600034E-2,-9.938330054E-1
2.455811470E-1,1.491779983E-1,-4.973300174E-2,-6.926670074E-1
2.505603910E-1,-8.862800151E-2,-7.314500213E-2,-7.765769958E-1
2.555396690E-1,-2.322240025E-1,-6.946299970E-2,-1.124423981E0
2.605188790E-1,-2.018650025E-1,-2.340500057E-1,-1.716799021E0
2.654981770E-1,-1.086699963E-2,-5.999259949E-1,-2.874876022E0
2.704774980E-1,2.590239942E-1,-6.881089807E-1,-4.440854073E0
2.754568530E-1,7.196679711E-1,-4.017879963E-1,-5.006619930E0
2.804360980E-1,1.182232022E0,-2.875660062E-1,-6.252294064E0
2.854153620E-1,1.625810981E0,-3.836359978E-1,-7.076028824E0
2.903947060E-1,-1.586270034E-1,-8.262000047E-3,3.977168083E0
2.953739500E-1,4.129340053E-1,3.528989851E-1,5.733123779E0
3.003532570E-1,1.653836966E0,-2.751620114E-1,-7.188270092E-1
3.053325830E-1,-9.564600140E-2,-3.798190057E-1,-2.085410058E-1
3.103118050E-1,-3.093689978E-1,-2.116310000E-1,2.217221022E0
3.152911040E-1,4.813089967E-1,5.745600164E-2,3.833633900E0
3.202704300E-1,2.149370015E-1,3.898499906E-2,2.435138941E0
3.252497900E-1,-6.228499860E-2,2.172699943E-2,3.106009960E-1
3.302289900E-1,2.444030046E-1,1.852709949E-1,-4.649179876E-1
3.352082680E-1,2.533940077E-1,2.744230032E-1,-5.225009918E-1
3.401874740E-1,1.869429946E-1,2.834439874E-1,-1.144616008E0
3.451667760E-1,1.933960021E-1,1.764180064E-1,-1.716927052E0
3.501461020E-1,5.490199849E-2,7.266499847E-2,-1.696284056E0
3.551254530E-1,1.699999993E-4,9.241700172E-2,-1.287989974E0
3.601046980E-1,-1.072949991E-1,9.191700071E-2,-8.811560273E-1
3.650839570E-1,-4.135049880E-1,2.253749967E-1,-4.420750141E-1
3.700631580E-1,-4.462679923E-1,3.236519992E-1,-1.035310030E-1
3.750424560E-1,-1.095919982E-1,6.897389889E-1,1.464830041E-1
3.800217810E-1,-7.022400200E-2,4.369899929E-1,2.839699946E-2
3.850011310E-1,-2.698040009E-1,-5.357800052E-2,-4.563420117E-1
3.899803760E-1,1.699579954E-1,-4.622099996E-1,-1.021713972E0
3.949596350E-1,8.298259974E-1,-7.065070271E-1,-1.305016041E0
3.999389790E-1,1.220234036E0,-8.935970068E-1,-1.502531052E0
4.049182230E-1,1.563130021E0,-1.021975994E0,-1.691383004E0
4.098975260E-1,1.869963050E0,-1.093466043E0,-1.747094989E0
4.148768330E-1,1.849851966E0,-1.096439958E0,-1.613700986E0
4.198560550E-1,1.760666013E0,-9.254710078E-1,-1.529330015E0
4.248353540E-1,1.718525052E0,-7.512990236E-1,-1.398354053E0
4.298146940E-1,1.642977953E0,-7.571160197E-1,-1.365152955E0
4.347940490E-1,1.396708965E0,-7.658380270E-1,-1.347251058E0
4.397732940E-1,1.220265985E0,-6.925950050E-1,-1.439470053E0
4.447525430E-1,1.161525965E0,-7.207469940E-1,-1.356366038E0
4.497317530E-1,8.588029742E-1,-6.765030026E-1,-1.204527020E0
4.547110230E-1,9.535080194E-1,-5.246790051E-1,-1.060328007E0
4.596903490E-1,9.020850062E-1,-1.861360073E-1,-9.526759982E-1
4.646697040E-1,8.324059844E-1,7.104399800E-2,-8.923749924E-1
4.696489250E-1,9.465960264E-1,3.172990084E-1,-1.086434007E0
4.746281840E-1,1.071195006E0,4.395470023E-1,-1.341673970E0
4.796075270E-1,1.286257982E0,5.487539768E-1,-1.670928001E0
4.845867560E-1,1.252256989E0,5.573139787E-1,-1.999722958E0
4.895660150E-1,1.352413058E0,5.380010009E-1,-2.152005911E0
4.945453590E-1,1.444262028E0,4.481070042E-1,-2.311708927E0
4.995246160E-1,1.717041016E0,2.933830023E-1,-2.363967896E0
5.045039200E-1,1.892830968E0,1.243169978E-1,-2.308408976E0
5.094832460E-1,1.611531973E0,1.251309961E-1,-1.709316015E0
5.144624680E-1,-9.445679784E-1,1.303081989E0,3.518550098E-1
5.194417670E-1,-3.551918983E0,2.715919971E0,1.652835011E0
5.244210980E-1,-3.212740898E0,2.971190929E0,9.534130096E-1
5.294004530E-1,-3.378067970E0,2.873737097E0,1.593345046E0
5.343796980E-1,-3.689805984E0,3.003216982E0,3.037002087E0
5.393590310E-1,-3.441898108E0,3.116905928E0,3.847115040E0
5.443383570E-1,-3.142674923E0,3.378889084E0,4.338374138E0
5.493175790E-1,-3.147897959E0,3.511022091E0,4.341763020E0
5.542968830E-1,-2.938376904E0,3.368495941E0,3.973347902E0
5.592762090E-1,-2.757978916E0,2.933259964E0,3.151598930E0
5.642555640E-1,-2.527535915E0,2.263077021E0,2.540374994E0
5.692348180E-1,-1.985898972E0,1.519919991E0,2.157107115E0
5.742140770E-1,-1.215482950E0,7.237679958E-1,2.349793911E0
5.791934210E-1,-4.841119945E-1,-7.249999791E-3,2.674526930E0
5.841726800E-1,2.499810010E-1,-5.034679770E-1,2.654386044E0
5.891519380E-1,1.105504036E0,-6.279240251E-1,2.242340088E0
5.941312820E-1,1.540627956E0,-1.103567004E0,1.588472009E0
