"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.517579900E-2,-1.200000048E0,3.484050274E0,9.925050735E0
2.990699000E-2,-1.216950059E0,3.481050253E0,9.886950493E0
3.463818100E-2,-1.195050001E0,3.525000095E0,9.877050400E0
3.966166100E-2,-1.236000061E0,3.541050196E0,9.835950851E0
4.459380000E-2,-1.204950094E0,3.534000158E0,9.769050598E0
4.708688000E-2,-1.192950010E0,3.574950218E0,9.645000458E0
4.957288100E-2,-1.164000034E0,3.631950140E0,9.595050812E0
5.206312700E-2,-1.138050079E0,3.630000114E0,9.468000412E0
5.455195800E-2,-1.120950103E0,3.679950237E0,9.361950874E0
5.704161900E-2,-1.114050031E0,3.682950258E0,9.252000809E0
5.953103500E-2,-1.111050010E0,3.709050179E0,9.178050041E0
6.202062800E-2,-1.072950006E0,3.727950096E0,9.112950325E0
6.451014500E-2,-1.039050102E0,3.775950193E0,9.015000343E0
6.699968700E-2,-1.003050089E0,3.798000097E0,8.919000626E0
6.948922200E-2,-9.510000348E-1,3.769050121E0,8.907000542E0
7.197876100E-2,-9.199500680E-1,3.808950186E0,8.850000381E0
7.446829900E-2,-8.740500212E-1,3.759000063E0,8.789999962E0
7.695784800E-2,-8.070000410E-1,3.718950272E0,8.746950150E0
7.944738600E-2,-7.740000486E-1,3.709050179E0,8.725049973E0
8.193697000E-2,-7.279500365E-1,3.643950224E0,8.685000420E0
8.442654000E-2,-6.990000606E-1,3.607950211E0,8.626950264E0
8.691607400E-2,-6.610500216E-1,3.582000256E0,8.653950691E0
8.940561900E-2,-6.949500442E-1,3.525000095E0,8.657999992E0
9.189517000E-2,-7.140000463E-1,3.496050119E0,8.694000244E0
9.438471000E-2,-7.380000353E-1,3.469950199E0,8.764050484E0
9.687424800E-2,-8.020500541E-1,3.438000202E0,8.866950035E0
9.936378600E-2,-8.550000191E-1,3.421950102E0,8.950950623E0
1.018533240E-1,-9.120000601E-1,3.397950172E0,9.010050774E0
1.043428620E-1,-9.480000734E-1,3.373950243E0,9.123000145E0
1.068324340E-1,-9.679500461E-1,3.397950172E0,9.223050117E0
1.093219720E-1,-1.044000030E0,3.424050093E0,9.331050873E0
1.118115110E-1,-1.102050066E0,3.393000126E0,9.444000244E0
1.143010490E-1,-1.164000034E0,3.397950172E0,9.544050217E0
1.167907230E-1,-1.219050050E0,3.453000069E0,9.549000740E0
1.192803570E-1,-1.255050063E0,3.490950108E0,9.607050896E0
1.217697740E-1,-1.327050090E0,3.522000074E0,9.601950645E0
1.242592340E-1,-1.390950084E0,3.592050076E0,9.621000290E0
1.267489200E-1,-1.470000029E0,3.651000261E0,9.670950890E0
1.292385400E-1,-1.542000055E0,3.663000107E0,9.745050430E0
1.317280660E-1,-1.600050092E0,3.682950258E0,9.796050072E0
1.342176190E-1,-1.639950037E0,3.726000071E0,9.834000587E0
1.367071740E-1,-1.645050049E0,3.735000134E0,9.870000839E0
1.391967150E-1,-1.648050070E0,3.750000238E0,9.886950493E0
1.416862530E-1,-1.585050106E0,3.706950188E0,9.889050484E0
1.441757920E-1,-1.501050115E0,3.637050152E0,9.877050400E0
1.466653300E-1,-1.387050033E0,3.637050152E0,9.814950943E0
1.491548690E-1,-1.248000026E0,3.594000101E0,9.798000336E0
1.516444350E-1,-1.128000021E0,3.570000172E0,9.726000786E0
1.541339740E-1,-9.990000725E-1,3.460050106E0,9.621000290E0
1.566235120E-1,-8.670000434E-1,3.421950102E0,9.573000908E0
1.591130500E-1,-7.450500131E-1,3.412050247E0,9.493950844E0
1.616025880E-1,-6.469500065E-1,3.292050123E0,9.432000160E0
1.640921260E-1,-5.389500260E-1,3.256050110E0,9.397950172E0
1.665816640E-1,-4.189500213E-1,3.201000214E0,9.384000778E0
1.690712020E-1,-3.619500101E-1,3.112950087E0,9.288000107E0
1.715607860E-1,-2.539499998E-1,3.010050058E0,9.259050369E0
1.740503560E-1,-1.609500051E-1,2.943000078E0,9.199950218E0
1.765398900E-1,-5.100000277E-2,2.881050110E0,9.160950661E0
1.790294350E-1,4.489500225E-1,2.493000031E0,9.682950020E0
1.815189620E-1,-1.219500080E-1,2.956950188E0,9.480000496E0
1.840085020E-1,-3.105000220E-2,2.928000212E0,8.959950447E0
1.864980400E-1,2.530499995E-1,2.713050127E0,8.697000504E0
1.889875790E-1,1.305000018E-2,2.827950239E0,8.590950012E0
1.914771170E-1,1.050000079E-3,2.767950058E0,8.532000542E0
1.939666560E-1,-1.200000010E-2,2.706000090E0,8.436000824E0
1.964562180E-1,2.505000122E-2,2.682000160E0,8.485950470E0
1.989457570E-1,-1.005000062E-2,2.755950212E0,8.601000786E0
2.014352950E-1,-4.800000042E-2,2.869050026E0,8.674950600E0
2.039248340E-1,-8.595000207E-2,3.015000105E0,8.752050400E0
2.064143720E-1,-1.369500011E-1,3.141000032E0,8.821050644E0
2.089039110E-1,-2.370000184E-1,3.220050097E0,8.895000458E0
2.113934590E-1,-3.640500307E-1,3.337950230E0,8.986050606E0
2.138829980E-1,-5.130000114E-1,3.382950068E0,9.156000137E0
2.163726700E-1,-6.589500308E-1,3.466950178E0,9.255000114E0
2.188623030E-1,-7.570500374E-1,3.505050182E0,9.421950340E0
2.213518260E-1,-8.910000324E-1,3.571950197E0,9.589950562E0
2.238413820E-1,-9.820500612E-1,3.601050138E0,9.694950104E0
2.263309260E-1,-1.044000030E0,3.658950090E0,9.853050232E0
2.288204680E-1,-1.116000056E0,3.667950153E0,9.910950661E0
