"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.657540170E0,5.237454833E1,4.834786667E0,-3.748978881E1,1.720716357E0,5.279999924E1,5.699999809E0,4.079999924E1
2.157540170E0,5.237463833E1,4.834803333E0,-2.958965311E1,1.117976665E0,8.451000214E1,3.799999952E0,2.829999924E1
2.657540170E0,5.237474833E1,4.834863333E0,-2.248946425E1,1.193126082E0,7.008999634E1,3.099999905E0,2.560000038E1
3.157540170E0,5.237476333E1,4.834885000E0,-2.268943067E1,1.339821935E0,6.354999924E1,2.799999952E0,2.429999924E1
4.157540170E0,5.237474333E1,4.834875000E0,-3.078946448E1,1.197758555E0,1.900000000E1,2.599999905E0,2.250000000E1
5.157540170E0,5.237474833E1,4.834866667E0,-3.098946231E1,5.533263683E-1,3.615000153E1,2.500000000E0,2.160000038E1
6.157540170E0,5.237475833E1,4.834875000E0,-3.028944347E1,1.377911329E0,3.388900146E2,2.500000000E0,2.200000000E1
7.157540170E0,5.237477333E1,4.834878333E0,-2.708942053E1,1.345998645E0,3.486199951E2,2.400000095E0,2.120000076E1
8.157540170E0,5.237478833E1,4.834890000E0,-2.188939276E1,5.008247495E-1,2.426499939E2,2.299999952E0,1.900000000E1
9.157540170E0,5.237478000E1,4.834906667E0,-1.898939475E1,3.958213925E-1,2.686799927E2,2.200000048E0,1.810000038E1
1.015754017E1,5.237477833E1,4.834918333E0,-1.528939031E1,5.950188637E-1,2.757900085E2,2.200000048E0,1.710000038E1
1.115754017E1,5.237477667E1,4.834920000E0,-1.218939168E1,6.655358076E-1,2.612999878E2,2.099999905E0,1.629999924E1
1.215754017E1,5.237477667E1,4.834913333E0,-9.389395549E0,1.334674716E0,2.818099976E2,2.099999905E0,1.550000000E1
1.315754017E1,5.237477833E1,4.834895000E0,-5.089403856E0,2.450077772E0,2.712399902E2,2.000000000E0,1.450000000E1
1.499654017E1,5.237478333E1,4.834838333E0,-1.189429747E0,2.210731983E0,2.826799927E2,2.000000000E0,1.419999981E1
1.599654017E1,5.237478500E1,4.834798333E0,2.310549368E0,3.154732466E0,2.660000000E2,2.000000000E0,1.380000019E1
1.649654017E1,5.237478500E1,4.834768333E0,3.810531955E0,2.578758240E0,2.677999878E2,1.899999976E0,1.319999981E1
1.699654017E1,5.237478333E1,4.834740000E0,5.710513174E0,2.704865217E0,2.789200134E2,1.799999952E0,1.310000038E1
1.749654017E1,5.237478667E1,4.834701667E0,6.610495591E0,2.228232384E0,2.784800110E2,1.700000048E0,1.300000000E1
1.899354017E1,5.237479333E1,4.834638333E0,7.510468164E0,2.387796402E0,2.786499939E2,1.799999952E0,1.330000019E1
1.999354017E1,5.237479833E1,4.834585000E0,8.410444208E0,2.746557713E0,2.789500122E2,1.799999952E0,1.369999981E1
2.099354017E1,5.237480500E1,4.834526667E0,9.210419683E0,3.085759640E0,2.791799927E2,1.700000048E0,1.389999962E1
2.199354017E1,5.237481500E1,4.834485000E0,9.410409499E0,2.444415808E0,2.865799866E2,1.799999952E0,1.410000038E1
2.299354017E1,5.237482500E1,4.834465000E0,9.710411892E0,2.512359142E0,3.010400085E2,1.799999952E0,1.430000019E1
2.399254017E1,5.237484167E1,4.834456667E0,1.021043039E1,2.436695099E0,3.299200134E2,1.799999952E0,1.469999981E1
2.499254017E1,5.237486333E1,4.834456667E0,1.141046073E1,2.321397305E0,3.514500122E2,1.799999952E0,1.519999981E1
2.599254017E1,5.237488667E1,4.834455000E0,1.211049243E1,2.198893309E0,1.500000000E1,1.700000048E0,1.569999981E1
2.699254017E1,5.237490000E1,4.834468333E0,1.341051884E1,2.069183350E0,4.177999878E1,1.700000048E0,1.620000076E1
2.799254017E1,5.237491667E1,4.834485000E0,1.421055186E1,1.999181151E0,1.500000000E1,1.700000048E0,1.650000000E1
2.899254017E1,5.237493167E1,4.834491667E0,1.491057673E1,1.929693580E0,1.500000000E1,1.700000048E0,1.689999962E1
2.999254017E1,5.237495000E1,4.834500000E0,1.611060724E1,1.810278058E0,1.500000000E1,1.600000024E0,1.589999962E1
3.099254017E1,5.237496833E1,4.834506667E0,1.681063678E1,1.614683628E0,1.500000000E1,1.600000024E0,1.560000038E1
3.199254017E1,5.237498167E1,4.834516667E0,1.781066125E1,1.518430591E0,2.085000038E1,1.600000024E0,1.560000038E1
3.299254017E1,5.237499833E1,4.834531667E0,1.881069330E1,1.517915845E0,3.275000000E1,1.600000024E0,1.569999981E1
