"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.120598316E-2,5.237211925E1,4.900337784E0,7.285976410E0,NaN,NaN,1.770073826E2,3.000000000E0
6.200181246E-1,5.237216095E1,4.900298305E0,9.789089203E0,6.100000143E-1,3.357421875E2,1.688816100E1,1.200000000E1
2.011023164E0,5.237216509E1,4.900300736E0,4.078334808E0,1.389999986E0,1.792968750E1,6.131307813E0,4.000000000E0
3.011027098E0,5.237217750E1,4.900302244E0,3.794155121E0,1.389999986E0,4.921875000E0,4.855016220E0,4.000000000E0
4.011031032E0,5.237219020E1,4.900300568E0,3.701381683E0,1.389999986E0,4.570312500E0,4.283108922E0,4.000000000E0
5.011034369E0,5.237219900E1,4.900295120E0,3.557094574E0,1.220000029E0,4.921875000E0,4.009220671E0,3.000000000E0
6.011038184E0,5.237220512E1,4.900286151E0,3.322658539E0,1.220000029E0,3.382031250E2,3.659588535E0,3.000000000E0
7.011076212E0,5.237220872E1,4.900280116E0,3.096889496E0,9.399999976E-1,3.382031250E2,3.535533906E0,3.000000000E0
8.011083603E0,5.237221526E1,4.900277434E0,3.044582367E0,9.399999976E-1,9.843750000E0,3.535533906E0,3.000000000E0
9.011087060E0,5.237222335E1,4.900277518E0,2.645595551E0,1.029999971E0,1.019531250E1,3.834167902E0,3.000000000E0
1.001109672E1,5.237223131E1,4.900278943E0,2.831386566E0,1.029999971E0,9.843750000E0,4.345090951E0,4.000000000E0
1.101110256E1,5.237224351E1,4.900280787E0,3.318264008E0,1.029999971E0,9.492187500E0,4.921264291E0,4.000000000E0
1.201110637E1,5.237226203E1,4.900279948E0,3.447414398E0,1.350000024E0,3.571875000E2,4.741953030E0,4.000000000E0
1.301111972E1,5.237228026E1,4.900276680E0,3.397426605E0,1.519999981E0,3.494531250E2,4.801981211E0,4.000000000E0
1.401112831E1,5.237229369E1,4.900272595E0,3.397426855E0,1.519999981E0,3.494531218E2,4.801981211E0,4.000000000E0
1.501113403E1,5.237230776E1,4.900262630E0,3.281826270E0,1.519999981E0,3.410156192E2,4.872343723E0,4.000000000E0
1.601114321E1,5.237231967E1,4.900250918E0,3.121486905E0,1.490000010E0,3.332812422E2,4.912040193E0,4.000000000E0
1.701114917E1,5.237233342E1,4.900246980E0,3.123317958E0,1.480000019E0,3.417187446E2,4.906759841E0,4.000000000E0
1.801115263E1,5.237234313E1,4.900246961E0,3.175319841E0,1.129999995E0,3.469921845E2,4.680649554E0,4.000207534E0
1.901116562E1,5.237236565E1,4.900246563E0,3.631069527E0,1.879999995E0,3.533203100E2,4.602479102E0,4.000452224E0
2.001117265E1,5.237237840E1,4.900241572E0,3.536342868E0,1.509999990E0,3.455859331E2,4.605755091E0,4.000442052E0
