"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.478170833E-2,-1.334203482E0,-8.942431808E-1,-1.678343862E-2
2.474870834E-2,-1.663585663E0,-8.258832693E-1,1.361374110E-1
3.471470833E-2,-1.799765944E0,-7.404768467E-1,2.576636970E-1
4.468070834E-2,-1.757712245E0,-6.334161758E-1,3.511537015E-1
5.464670833E-2,-1.581069708E0,-4.721744061E-1,4.361962378E-1
6.461270833E-2,-1.347600222E0,-2.528686821E-1,5.026115179E-1
7.457870834E-2,-1.081176281E0,-1.114711538E-1,4.836538136E-1
8.454570833E-2,-8.940744996E-1,-6.963768601E-2,3.901459575E-1
9.451170834E-2,-7.850570679E-1,-3.081177473E-1,1.859637499E-1
1.044777083E-1,-7.335848212E-1,-6.062189341E-1,-4.498344287E-2
1.144437083E-1,-8.687548041E-1,-2.557617128E-1,2.984024212E-2
1.244097083E-1,-1.150891662E0,2.693643868E-1,2.885759175E-1
1.343757083E-1,-1.240492105E0,5.101594925E-1,5.327681899E-1
1.443427083E-1,-1.322549224E0,6.346009970E-1,6.101197004E-1
1.543087083E-1,-1.307496071E0,7.375615835E-1,3.793849647E-1
1.642747083E-1,-1.226031065E0,3.361513019E-1,2.031766474E-1
1.742407083E-1,-9.757429957E-1,-6.703950465E-2,1.254048645E-1
1.842067083E-1,-6.463366151E-1,-2.628343105E-1,5.528143048E-2
1.941737083E-1,-3.874048889E-1,-3.080511093E-1,-3.788684309E-2
2.041397083E-1,-2.433550507E-1,-3.617550731E-1,-1.077476814E-1
2.141057083E-1,-2.233473212E-1,-4.069287479E-1,-1.889821291E-1
2.240717083E-1,-3.216057122E-1,-3.838295341E-1,-2.890956700E-1
2.340377083E-1,-5.787801743E-1,-4.640197456E-1,-3.414185047E-1
2.440037083E-1,-9.225692153E-1,-5.723757744E-1,-4.634895623E-1
2.539707083E-1,-1.214868546E0,-5.537917614E-1,-6.159762144E-1
2.639367083E-1,-1.394071817E0,-6.233772039E-1,-6.609982848E-1
2.739027083E-1,-1.397188306E0,-7.236987948E-1,-6.594942212E-1
2.838687083E-1,-1.225060463E0,-8.411303759E-1,-6.956056356E-1
2.938347083E-1,-9.612540603E-1,-9.048276544E-1,-7.176176906E-1
3.038007083E-1,-7.016935945E-1,-8.939800858E-1,-6.623104811E-1
3.137677083E-1,-5.636090040E-1,-8.274337053E-1,-5.617086291E-1
3.237337083E-1,-6.058824062E-1,-6.358762980E-1,-4.660407305E-1
3.336997083E-1,-7.993592024E-1,-4.246352911E-1,-3.670907319E-1
3.436657083E-1,-9.929057360E-1,-3.348193765E-1,-2.788074613E-1
3.536317083E-1,-1.164559126E0,-2.739063501E-1,-2.066573203E-1
3.635987083E-1,-1.361881495E0,-3.838815689E-1,-1.251288950E-1
3.735647083E-1,-1.634759188E0,-4.302753508E-1,-1.374869496E-1
3.835307083E-1,-1.940963387E0,-1.027291939E-1,-2.243320942E-1
3.934967083E-1,-2.042958498E0,-3.446996957E-2,-2.460979670E-1
4.034627083E-1,-1.648872137E0,1.389116980E-2,-3.325816989E-1
4.134287083E-1,-1.039334655E0,1.631399989E-1,-3.248673379E-1
4.233957083E-1,-6.042937636E-1,4.411311448E-1,-1.729715466E-1
4.333617083E-1,-4.521361589E-1,5.748993158E-1,2.050455362E-1
4.433277083E-1,-8.595641255E-1,1.118324757E0,5.171390176E-1
4.532937083E-1,-1.527026176E0,1.135599375E0,7.568838596E-1
4.632597083E-1,-2.050038099E0,7.514610291E-1,6.782433391E-1
4.732267083E-1,-1.928106189E0,3.882030845E-1,2.500645220E-1
4.831927083E-1,-1.191963673E0,9.271128774E-1,3.291941807E-2
4.931587083E-1,-9.634520411E-1,2.165644646E0,3.113847375E-1
5.031247083E-1,-1.103832603E0,3.121721506E0,5.556226969E-1
5.130907083E-1,-9.592049122E-1,3.156174183E0,6.336943507E-1
5.230567083E-1,-5.116793513E-1,2.429117918E0,6.739277840E-1
5.330237083E-1,-1.249760836E-1,1.366633534E0,7.371450067E-1
