"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.496375000E-3,-2.056438555E0,8.442239195E-1,-6.816958827E-1
1.346237500E-2,-2.308738017E0,4.298679990E-1,5.356961703E-1
2.342837500E-2,-2.351927891E0,-1.508172333E-1,1.659770170E0
3.339437500E-2,-2.015827158E0,-7.128007311E-1,2.205390235E0
4.335937500E-2,-1.476076967E0,-1.230229615E0,2.308539212E0
5.332537500E-2,-9.040508759E-1,-1.667149648E0,2.137203514E0
6.329212500E-2,-3.406748638E-1,-1.923382240E0,1.674182972E0
7.325812500E-2,2.010693741E-1,-1.989250832E0,9.807259995E-1
8.322312500E-2,7.024495514E-1,-1.856553243E0,2.569313335E-1
9.318912500E-2,1.022414454E0,-1.605613551E0,-3.676407605E-1
1.031551250E-1,1.021245596E0,-1.482189646E0,-7.567384636E-1
1.131211250E-1,6.629381610E-1,-1.633066228E0,-1.383231368E0
1.230861250E-1,3.598616248E-1,-1.979264957E0,-2.482031947E0
1.330521250E-1,2.354135799E-1,-2.401928017E0,-3.756272385E0
1.430181250E-1,-1.817753166E-3,-2.705343545E0,-4.657938766E0
1.529841250E-1,1.729824930E-1,-2.856163702E0,-5.025112334E0
1.629491250E-1,4.798316527E-1,-3.008766675E0,-5.101374645E0
1.729151250E-1,5.639250657E-1,-3.067588787E0,-5.190117837E0
1.828811250E-1,6.124110550E-1,-2.941465808E0,-5.498645586E0
1.928471250E-1,6.975845218E-1,-2.749678888E0,-5.869925653E0
2.028131250E-1,9.485559346E-1,-2.794788695E0,-5.865701625E0
2.127781250E-1,1.480872560E0,-2.986033578E0,-5.531287667E0
2.227441250E-1,1.680008991E0,-3.155717437E0,-5.190536497E0
2.327101250E-1,1.673046273E0,-3.115788555E0,-5.191096076E0
2.426761250E-1,1.313265924E0,-2.793015235E0,-5.615842499E0
2.526411250E-1,1.037715668E0,-2.473549684E0,-6.479754578E0
2.626071250E-1,9.529612999E-1,-1.831539731E0,-7.112536163E0
2.725731250E-1,1.631865503E0,-1.083261311E0,-6.405080956E0
2.825391250E-1,4.320599739E0,-2.005165783E0,-2.831124755E0
2.925041250E-1,2.663150914E0,-2.745658635E0,2.717775310E0
3.024701250E-1,7.369892004E-1,-2.971688019E0,5.210270850E0
3.124361250E-1,-2.009075816E0,-2.105647553E0,5.045089347E0
3.224021250E-1,-2.558919325E0,4.998945460E-1,2.969008532E0
3.323671250E-1,-2.339251712E-1,2.718677536E-1,1.025788736E-1
3.423331250E-1,2.032864628E0,-9.465808913E-1,-2.292369322E0
3.522991250E-1,3.666637200E0,-1.578475454E0,-2.824633761E0
3.622651250E-1,3.884551526E0,-1.654027912E0,-1.812532187E0
3.722301250E-1,2.745736696E0,-1.092477985E0,6.312829435E-2
3.821961250E-1,6.161035717E-1,-4.322902080E-1,1.133685068E0
3.921621250E-1,-1.715495597E0,-6.269886021E-1,9.350405341E-1
4.021281250E-1,-2.343355288E0,-1.819179594E0,3.075787461E-1
4.120931250E-1,-2.287024966E0,-2.995626812E0,3.086008394E-1
4.220591250E-1,-2.206792397E0,-3.410009922E0,1.423187147E0
4.320251250E-1,-2.367387929E0,-2.448658964E0,2.576304266E0
4.419911250E-1,-2.558595389E0,-8.940511139E-1,3.668932525E0
4.519571250E-1,-2.964367012E0,2.679800861E-2,4.639113071E0
4.619221250E-1,-3.529076482E0,-3.733814838E-1,4.328479739E0
4.718881250E-1,-4.034453085E0,-9.222375438E-1,3.545115395E0
4.818541250E-1,-3.974819087E0,-1.108070390E0,3.495272559E0
4.918201250E-1,-3.227580594E0,-7.797047918E-1,3.315423900E0
5.017851250E-1,-1.812288651E0,-4.570207143E-1,2.653488683E0
5.117511250E-1,3.817264107E-1,-8.365728378E-2,1.896333312E0
5.217171250E-1,2.039898244E0,-3.178069515E-1,2.092661764E0
5.316831250E-1,1.597903120E0,-4.028083275E-1,2.001186168E0
5.416481250E-1,9.636272791E-1,-5.796694247E-1,2.872408437E0
5.516141250E-1,7.536069873E-1,-1.022212945E0,4.055321798E0
5.615801250E-1,1.407718338E0,-4.326124627E-1,4.319927602E0
5.715461250E-1,2.021736792E0,1.754854667E-1,3.676125770E0
5.815111250E-1,2.377823747E0,1.535934913E-1,2.779135407E0
5.914771250E-1,2.209437677E0,1.111874369E-1,2.583519731E0
6.014431250E-1,2.317589240E0,3.809958742E-1,3.047456532E0
6.114091250E-1,1.771915381E0,2.297496453E0,2.030159122E0
6.213741250E-1,3.142992142E0,2.155151104E0,4.209615201E-1
6.313401250E-1,2.672765783E0,2.071267533E0,-9.611413354E-1
6.413061250E-1,1.409708145E0,1.752752301E0,-1.683976473E0
6.512721250E-1,4.155089915E-1,1.326912010E0,-1.982165176E0
6.612371250E-1,1.766809300E-1,1.405537619E0,-2.124089379E0
6.712031250E-1,5.237365678E-1,1.592069207E0,-2.460293754E0
6.811691250E-1,6.730925819E-1,1.840584789E0,-2.786580666E0
6.911351250E-1,9.634392911E-1,2.151113894E0,-3.524106349E0
7.011001250E-1,1.353814611E0,2.127490850E0,-3.892180973E0
7.110661250E-1,1.594551496E0,1.923700036E0,-3.140568178E0
7.210321250E-1,2.203853002E0,2.241781551E0,-3.015724277E0
7.309981250E-1,1.867425263E-1,2.552631814E0,-1.766261415E0
7.409631250E-1,-1.116718202E0,2.452010003E0,-6.708978295E-1
7.509291250E-1,-2.759658331E0,2.628091886E0,2.963836670E-1
7.608951250E-1,-1.722360520E0,2.322796185E0,-4.570721698E-1
7.708611250E-1,-4.932939166E-1,2.585374760E0,-1.562297670E0
7.808261250E-1,-2.860311717E-1,2.873854161E0,-2.153562854E0
7.907921250E-1,-5.949243718E-1,2.937941691E0,-1.637665941E0
8.007581250E-1,-2.076253892E0,2.707287452E0,1.017123163E-1
8.107241250E-1,-2.363363875E0,2.130587097E0,2.061564517E-1
8.206901250E-1,-2.935883471E0,1.661736881E0,6.815046787E-2
8.306551250E-1,-5.332348434E0,1.370042973E0,1.215054921E0
8.406211250E-1,-6.400513696E0,1.112314372E0,1.768409098E0
8.505871250E-1,-5.652160724E0,1.596981891E0,1.425015571E0
8.605531250E-1,-5.544415251E0,2.043966152E0,2.050634317E0
8.705181250E-1,-5.488187841E0,1.816449237E0,3.240638596E0
8.804841250E-1,-4.756378981E0,1.494060078E0,3.516778033E0
8.904501250E-1,-4.206598622E0,1.629434815E0,2.937180383E0
9.004161250E-1,-3.814535796E0,1.948343711E0,2.237172775E0
9.103811250E-1,-3.690032203E0,2.129850348E0,2.207946053E0
9.203471250E-1,-3.888499566E0,1.842099218E0,2.513923831E0
9.303131250E-1,-3.592350957E0,1.500239123E0,2.406778282E0
9.402791250E-1,-2.658280476E0,1.171904808E0,1.998476568E0
