"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.360699654E-2,5.237835158E1,4.897391204E0,7.701015711E0,NaN,NaN,4.985970913E1,1.509301853E1
5.255690813E-1,5.237829223E1,4.897476656E0,6.805838585E0,NaN,NaN,4.992529591E1,1.417483425E1
6.240812540E-1,5.237829952E1,4.897263218E0,1.562429428E1,1.149999976E0,2.035546875E2,5.761707256E0,1.200000000E1
1.474090457E0,5.237829541E1,4.897284340E0,2.527212143E1,1.149999976E0,1.940625000E2,4.623886877E0,1.200000000E1
2.474124432E0,5.237828673E1,4.897290124E0,1.862234116E1,1.149999976E0,1.951171875E2,3.880752954E0,8.000000000E0
3.474146843E0,5.237827395E1,4.897292471E0,1.819277573E1,1.200000048E0,1.926562500E2,3.627040613E0,8.000000000E0
4.474172473E0,5.237825966E1,4.897294650E0,1.558950424E1,1.539999962E0,1.912500000E2,3.641620895E0,6.000000000E0
5.474197745E0,5.237824893E1,4.897295572E0,1.649911118E1,1.100000024E0,1.947656250E2,3.970145427E0,6.000000000E0
6.474178076E0,5.237823950E1,4.897302361E0,1.734103012E1,1.100000024E0,1.919531250E2,3.859543457E0,6.000000000E0
7.474191904E0,5.237822990E1,4.897308648E0,1.713253403E1,1.080000043E0,1.880859375E2,3.950123591E0,6.000000000E0
8.474207997E0,5.237821817E1,4.897318706E0,1.669198227E1,1.080000043E0,1.722656250E2,3.626081585E0,6.000000000E0
9.474219203E0,5.237820526E1,4.897334548E0,1.825448227E1,1.500000000E0,1.715625000E2,3.547480170E0,6.000000000E0
1.047423112E1,5.237819177E1,4.897349216E0,1.865804672E1,1.590000033E0,1.715625000E2,3.630348495E0,6.000000000E0
1.147424519E1,5.237817680E1,4.897367405E0,1.652987289E1,1.590000033E0,1.617187500E2,3.535533906E0,6.000000000E0
1.247425795E1,5.237816398E1,4.897382744E0,1.501058578E1,1.590000033E0,1.578515625E2,3.535533906E0,6.000000000E0
1.347426832E1,5.237815075E1,4.897391546E0,1.501058605E1,1.590000033E0,1.578515695E2,4.174999222E0,6.001118880E0
1.447427964E1,5.237814026E1,4.897406465E0,1.662643074E1,1.429999948E0,1.529296951E2,4.174999151E0,6.001118887E0
1.547428751E1,5.237812277E1,4.897411585E0,1.606386974E1,1.600000024E0,1.669921917E2,4.286985575E0,4.066712028E0
1.647429121E1,5.237810902E1,4.897415208E0,1.548464607E1,1.429999948E0,1.705078152E2,4.286985349E0,4.066711961E0
1.747429895E1,5.237809646E1,4.897417842E0,1.439510748E1,1.340000033E0,1.729687519E2,4.286985149E0,4.066711903E0
1.847430885E1,5.237808220E1,4.897420627E0,1.446297858E1,1.399999976E0,1.708593776E2,4.286984939E0,4.066711846E0
1.947431731E1,5.237806869E1,4.897423315E0,1.415639900E1,1.419999957E0,1.698046904E2,4.286984736E0,4.066711789E0
2.047432709E1,5.237805574E1,4.897424693E0,1.436727546E1,1.399999976E0,1.712109400E2,4.286984539E0,4.066711733E0
2.147433650E1,5.237804345E1,4.897420963E0,1.369692634E1,1.389999986E0,1.785937504E2,4.286984357E0,4.066711676E0
2.247434604E1,5.237803031E1,4.897416717E0,1.278292488E1,1.429999948E0,1.817578120E2,4.286984168E0,4.066711617E0
2.347435522E1,5.237801654E1,4.897412598E0,1.271041511E1,1.429999948E0,1.831640616E2,4.286983965E0,4.066711552E0
2.447436321E1,5.237800395E1,4.897412361E0,1.324532721E1,1.350000024E0,1.789453128E2,4.286983769E0,4.066711490E0
2.547437203E1,5.237799145E1,4.897414449E0,1.301491948E1,1.320000052E0,1.747265639E2,4.286983576E0,4.066711434E0
2.647438037E1,5.237797995E1,4.897419826E0,1.249441166E1,1.250000000E0,1.691015652E2,4.286983390E0,4.066711381E0
