"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.500416667E-3,-1.020428009E0,4.010609894E0,6.850953369E0
1.246641667E-2,-1.124461670E0,3.906426544E0,7.069798279E0
2.243241667E-2,-1.113983459E0,3.806733856E0,6.932833099E0
3.239841666E-2,-9.952803040E-1,3.707041168E0,6.940467224E0
4.236341667E-2,-9.434880066E-1,3.633693695E0,7.183561707E0
5.232941667E-2,-9.842033386E-1,3.713777161E0,7.392377472E0
6.229541666E-2,-1.071471863E0,3.992647247E0,7.494614868E0
7.226041667E-2,-1.204395447E0,4.357887726E0,7.577841797E0
8.222641667E-2,-1.293011169E0,4.703219604E0,7.775879974E0
9.219241667E-2,-1.290316772E0,4.934488678E0,8.606053619E0
1.021584167E-1,-1.222657471E0,5.094206543E0,8.816216583E0
1.121234167E-1,-1.643582153E0,5.336552582E0,7.667355652E0
1.220894167E-1,-2.003733215E0,5.754483490E0,7.700436859E0
1.320554167E-1,-1.980830841E0,5.958509216E0,8.339907074E0
1.420214167E-1,-1.856888580E0,5.851332092E0,8.617879028E0
1.519864167E-1,-2.236349487E0,5.893843689E0,8.540789337E0
1.619524167E-1,-1.652862854E0,5.812113647E0,9.392218781E0
1.719184167E-1,-1.440604248E0,5.451513519E0,9.763297119E0
1.818834167E-1,-1.818867645E0,4.976251831E0,9.696236572E0
1.918494167E-1,-1.592238922E0,4.739144897E0,1.034588562E1
2.018154167E-1,-1.542093201E0,4.665048981E0,1.094793365E1
2.117814167E-1,-1.173260193E0,4.728666687E0,1.114672028E1
2.217464167E-1,3.195854187E-1,4.099824371E0,1.144250519E1
2.317124167E-1,3.303630066E-1,4.683760071E0,1.095556778E1
2.416784167E-1,-6.882687378E-1,6.586453400E0,1.020787262E1
2.516444167E-1,-1.091230774E0,7.380102997E0,9.901609497E0
2.616094167E-1,-1.749861145E0,6.755152588E0,9.844877472E0
2.715754167E-1,-2.280657349E0,5.837710419E0,1.041953247E1
2.815414167E-1,-2.452799377E0,5.524561615E0,1.120420074E1
2.915064167E-1,-2.332449646E0,5.299280090E0,1.154623947E1
3.014724167E-1,-2.221979370E0,4.932542725E0,1.119177658E1
3.114384167E-1,-1.714983673E0,4.657564545E0,1.067430267E1
3.214044167E-1,-8.321195984E-1,4.635410614E0,1.019679565E1
3.313694167E-1,2.734812927E-1,4.666545868E0,9.741592255E0
3.413354167E-1,1.149010620E0,4.334087219E0,8.818461914E0
3.513014167E-1,1.798360291E0,3.868405609E0,7.347021790E0
3.612664167E-1,1.959724731E0,3.815864868E0,5.797593842E0
3.712324167E-1,1.594035187E0,3.990102539E0,4.760700073E0
3.811984167E-1,1.869013367E0,2.123783569E0,3.973786469E0
3.911644167E-1,8.490344238E-1,1.101559296E0,3.907174988E0
4.011294167E-1,-1.639390869E0,2.807561646E0,5.379213867E0
4.110954167E-1,-1.230590973E0,8.439450073E-1,6.442602539E0
4.210614167E-1,-3.454965363E0,-1.556912384E0,7.752678223E0
4.310264167E-1,-3.808979187E0,-2.547702026E-1,9.628726959E0
4.409924167E-1,-4.559069366E0,6.737489319E-1,8.977431335E0
4.509584167E-1,-5.436993713E0,7.289840698E-1,8.902287598E0
4.609244167E-1,-3.942052460E0,6.951544189E-1,6.738986206E0
4.708894167E-1,-5.404660950E0,2.066602478E0,5.766458588E0
4.808554167E-1,-6.161936188E0,2.345622253E0,4.879253540E0
4.908214167E-1,-5.370980988E0,1.672023010E0,4.473896484E0
5.007874167E-1,-4.858147430E0,8.993298340E-1,4.331392822E0
5.107524167E-1,-4.290078735E0,4.897814941E-1,4.632865906E0
5.207184167E-1,-3.582949219E0,5.698649597E-1,4.940326538E0
5.306844167E-1,-3.331771545E0,1.085542603E0,4.791985016E0
5.406504167E-1,-3.713627472E0,2.221081238E0,4.300556946E0
5.506154167E-1,-4.254752197E0,3.332969055E0,3.675307159E0
5.605814167E-1,-4.676575012E0,3.952680359E0,2.914439392E0
5.705474167E-1,-4.588258667E0,5.106031952E0,3.009042664E0
5.805124167E-1,-4.751569061E0,5.051994324E0,2.617157593E0
5.904784167E-1,-4.576732635E0,3.898642731E0,1.789229279E0
6.004444167E-1,-4.534520416E0,3.331771545E0,2.169738007E0
6.104104167E-1,-4.101321259E0,3.385360107E0,2.375859375E0
6.203754167E-1,-3.432062988E0,3.454815674E0,3.338058472E0
6.303414167E-1,-3.217409363E0,3.751498718E0,4.117188263E0
6.403074167E-1,-3.606150970E0,3.526516571E0,4.352498932E0
6.502724167E-1,-4.391717377E0,3.244203644E0,4.412224731E0
6.602384167E-1,-5.726491699E0,3.728746033E0,4.534819794E0
6.702044167E-1,-6.823111267E0,3.948040009E0,4.913981323E0
6.801704167E-1,-7.962392120E0,3.356320496E0,5.538632355E0
6.901354167E-1,-8.109835510E0,3.662882996E0,5.711672516E0
7.001014167E-1,-7.855514374E0,3.918401642E0,6.400689697E0
7.100674167E-1,-7.886799316E0,3.321293335E0,6.692433014E0
7.200334167E-1,-7.615413666E0,2.954106903E0,6.621779938E0
7.299984167E-1,-7.609126740E0,3.471730499E0,5.396128693E0
7.399644167E-1,-7.121889954E0,3.972588959E0,3.243305511E0
7.499304167E-1,-6.385122070E0,3.797303467E0,1.865570526E0
7.598954167E-1,-6.129603424E0,2.758763123E0,-4.790039062E-1
7.698618333E-1,-4.750521240E0,2.286195831E0,9.451345825E-1
7.798278333E-1,-4.387526093E0,1.392404480E0,3.994892578E0
7.897938333E-1,-5.102888489E0,8.958869934E-1,6.030808868E0
7.997588333E-1,-6.299500122E0,1.055455170E0,7.005132751E0
8.097248333E-1,-9.342671814E0,-2.965333557E-1,5.092410278E0
8.196908333E-1,-8.100105743E0,-1.313219147E0,7.970026245E0
8.296568333E-1,-7.103478241E0,-7.348219299E-1,8.492888947E0
8.396218333E-1,-6.444249115E0,-1.639989624E0,6.905889130E0
8.495878333E-1,-7.346572723E0,-3.116668854E0,6.510112152E0
8.595538333E-1,-1.037657181E1,-3.761976929E0,6.066883850E0
8.695188333E-1,-1.430634979E1,-3.764521637E0,5.763764191E0
8.794848333E-1,-1.737122635E1,-3.292403412E0,5.119204559E0
8.894508333E-1,-1.879701141E1,-2.816992035E0,4.580325165E0
8.994168333E-1,-1.879311951E1,-2.963237915E0,4.430935822E0
9.093818333E-1,-1.849284393E1,-3.153043213E0,3.869752808E0
