"Time (s)","Distance (cm)"
9.737213700E-2,5.000000000E0
1.747689641E0,0.000000000E0
3.947697764E0,5.000000000E0
6.247665266E0,0.000000000E0
1.534768991E1,5.000000000E0
1.604771198E1,0.000000000E0
1.644769912E1,5.000000000E0
1.704768095E1,0.000000000E0
1.724788150E1,5.000000000E0
1.764767825E1,0.000000000E0
1.784769291E1,5.000000000E0
1.824768766E1,0.000000000E0
1.884769048E1,5.000000000E0
2.094769840E1,0.000000000E0
2.154774805E1,5.000000000E0
2.234769108E1,0.000000000E0
2.254767019E1,5.000000000E0
2.314768678E1,0.000000000E0
2.374768437E1,5.000000000E0
2.454767355E1,0.000000000E0
2.474768405E1,5.000000000E0
2.534775878E1,0.000000000E0
2.594766764E1,5.000000000E0
2.664772405E1,0.000000000E0
2.724768653E1,5.000000000E0
2.764786929E1,0.000000000E0
2.824768249E1,5.000000000E0
2.884770004E1,0.000000000E0
2.944769724E1,5.000000000E0
2.984769410E1,0.000000000E0
3.044770576E1,5.000000000E0
3.104768135E1,0.000000000E0
3.174768156E1,5.000000000E0
3.234769885E1,0.000000000E0
3.294765091E1,5.000000000E0
3.334777617E1,0.000000000E0
3.394766791E1,5.000000000E0
3.454783063E1,0.000000000E0
3.514767412E1,5.000000000E0
3.554767050E1,0.000000000E0
3.594767058E1,5.000000000E0
3.684769509E1,0.000000000E0
3.724768724E1,5.000000000E0
3.784770035E1,0.000000000E0
3.824778185E1,5.000000000E0
3.884770132E1,0.000000000E0
3.944783078E1,5.000000000E0
4.024768788E1,0.000000000E0
4.064767970E1,5.000000000E0
4.104765811E1,0.000000000E0
4.184768938E1,5.000000000E0
4.254767522E1,0.000000000E0
4.314768093E1,5.000000000E0
4.354763084E1,0.000000000E0
4.414767941E1,5.000000000E0
4.454782815E1,0.000000000E0
4.514767848E1,5.000000000E0
4.594771205E1,0.000000000E0
4.634769389E1,5.000000000E0
4.674768715E1,0.000000000E0
4.744766683E1,5.000000000E0
4.804768434E1,0.000000000E0
4.864768216E1,5.000000000E0
4.904767475E1,0.000000000E0
4.964768365E1,5.000000000E0
5.024769490E1,0.000000000E0
5.084787648E1,5.000000000E0
5.124768710E1,0.000000000E0
5.184769108E1,5.000000000E0
5.244770633E1,0.000000000E0
5.314767966E1,5.000000000E0
5.374769444E1,0.000000000E0
5.474769386E1,5.000000000E0
5.514767952E1,0.000000000E0
5.594766960E1,5.000000000E0
5.654768290E1,0.000000000E0
5.734769270E1,5.000000000E0
5.844766529E1,0.000000000E0
5.884768841E1,5.000000000E0
5.924768765E1,0.000000000E0
6.144769723E1,5.000000000E0
6.204783169E1,0.000000000E0
6.264767269E1,5.000000000E0
6.324785203E1,0.000000000E0
6.374768801E1,5.000000000E0
6.434769910E1,0.000000000E0
6.494769917E1,5.000000000E0
6.534769015E1,0.000000000E0
6.594771227E1,5.000000000E0
6.654768084E1,0.000000000E0
6.714769570E1,5.000000000E0
6.754767424E1,0.000000000E0
6.814787119E1,5.000000000E0
6.884769400E1,0.000000000E0
6.944783793E1,5.000000000E0
6.984769233E1,0.000000000E0
7.044766682E1,5.000000000E0
7.104768271E1,0.000000000E0
7.164767964E1,5.000000000E0
7.204786894E1,0.000000000E0
7.264768183E1,5.000000000E0
7.344771758E1,0.000000000E0
7.384769260E1,5.000000000E0
7.434786803E1,0.000000000E0
7.494766367E1,5.000000000E0
7.554768068E1,0.000000000E0
7.614767498E1,5.000000000E0
7.654767298E1,0.000000000E0
7.714772466E1,5.000000000E0
7.774769015E1,0.000000000E0
7.834775204E1,5.000000000E0
7.874768399E1,0.000000000E0
7.944783190E1,5.000000000E0
8.004767844E1,0.000000000E0
8.064786241E1,5.000000000E0
8.124769383E1,0.000000000E0
8.164767836E1,5.000000000E0
