"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.864285600E-2,6.123030186E-1,4.424149990E-1,1.171800971E0
5.362253900E-2,3.334279954E-1,3.260169923E-1,1.313277006E0
5.860223200E-2,2.273000032E-2,3.320469856E-1,1.350682020E0
6.358192400E-2,-3.330230117E-1,2.654309869E-1,1.453053951E0
6.856153800E-2,-6.170259714E-1,2.834750116E-1,1.532297969E0
7.354123100E-2,-8.737490177E-1,3.369080126E-1,1.535778999E0
7.852092300E-2,-1.010972977E0,3.905310035E-1,1.399852991E0
8.350062000E-2,-1.020035028E0,3.821829855E-1,1.189548969E0
8.848031300E-2,-9.552819729E-1,3.755730093E-1,1.033043027E0
9.346000500E-2,-8.161649704E-1,4.324629903E-1,1.110685945E0
9.843968800E-2,-6.446930170E-1,4.151740074E-1,1.096989036E0
1.034191520E-1,-3.843460083E-1,2.775549889E-1,1.029615045E0
1.083988370E-1,-7.290299982E-2,2.254599929E-1,9.299250245E-1
1.133785290E-1,2.207300067E-2,2.520059943E-1,9.070969820E-1
1.183582220E-1,-1.006480008E-1,3.383150101E-1,9.134500027E-1
1.233379140E-1,-3.145909905E-1,5.825319886E-1,7.966780066E-1
1.283176060E-1,-5.880230069E-1,8.816499710E-1,7.719529867E-1
1.332972990E-1,-9.210900068E-1,1.108785987E0,6.215159893E-1
1.382769290E-1,-1.232471943E0,1.256742954E0,4.271050096E-1
1.432566190E-1,-1.557896972E0,1.237118959E0,3.030189872E-1
1.482363120E-1,-1.399747968E0,1.413815975E0,3.544009924E-1
1.532160090E-1,-9.832080007E-1,1.627421021E0,1.202131033E0
1.581957010E-1,-1.183208942E0,1.121412992E0,1.405097961E0
1.631753940E-1,-9.046519995E-1,1.356760979E0,1.746570945E0
1.681550910E-1,-1.205780983E0,1.316406012E0,1.656942964E0
1.731347830E-1,-1.244055033E0,1.255401969E0,1.497033954E0
1.781142470E-1,-1.169903994E0,1.122619987E0,1.603780985E0
1.830939360E-1,-1.326086998E0,1.056733966E0,1.483420014E0
1.880736290E-1,-1.364703059E0,1.089715958E0,1.179185033E0
1.930533210E-1,-1.180426002E0,7.697650194E-1,4.626359940E-1
1.980330180E-1,-1.268453002E0,6.430630088E-1,9.782639742E-1
2.030127110E-1,-1.430475950E0,4.410119951E-1,1.238209963E0
2.079924030E-1,-1.853880048E0,1.855919957E-1,1.541020989E0
2.129721000E-1,-2.106442928E0,2.454300039E-2,1.772153020E0
2.179517920E-1,-2.332653999E0,-2.406180054E-1,1.815322042E0
2.229314100E-1,-2.415864944E0,-4.490779936E-1,1.727633953E0
2.279111140E-1,-2.330516100E0,-5.683209896E-1,1.544492006E0
2.328908070E-1,-2.106508017E0,-6.546059847E-1,1.379148960E0
2.378704990E-1,-1.829488039E0,-6.747980118E-1,1.229393959E0
2.428499430E-1,-1.436972976E0,-6.661210060E-1,1.207468987E0
2.478296340E-1,-1.274883032E0,-6.814720035E-1,1.255347013E0
2.528095570E-1,-1.120411992E0,-7.109829783E-1,1.358340979E0
