"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,5.237387630E1,4.899491000E0,3.146819232E0,NaN,NaN,1.155500031E1,1.000000000E0
6.007227030E-1,5.237377000E1,4.899386667E0,2.464660539E1,1.708877832E-1,3.332099915E2,3.799999952E0,1.000999985E2
1.100722703E0,5.237379667E1,4.899443333E0,2.484667596E1,7.484061122E-1,3.479299927E2,3.500000000E0,1.000999985E2
1.820722703E0,5.237382833E1,4.899495000E0,2.394675070E1,1.219891667E0,3.428599854E2,2.900000095E0,3.879999924E1
2.320722703E0,5.237385833E1,4.899518333E0,2.364680664E1,1.358351946E0,3.357999878E2,2.700000048E0,2.970000076E1
2.820722703E0,5.237388167E1,4.899526667E0,2.344684446E1,1.063416123E0,3.455299988E2,2.500000000E0,2.989999962E1
3.320722703E0,5.237388833E1,4.899543333E0,2.314686356E1,7.823777795E-1,3.501000061E2,2.400000095E0,2.710000038E1
4.320722703E0,5.237389000E1,4.899548333E0,2.334686881E1,5.270755291E-1,3.356999969E1,2.500000000E0,2.760000038E1
5.320722703E0,5.237389333E1,4.899558333E0,2.364687933E1,5.456055403E-1,4.943000031E1,2.500000000E0,2.829999924E1
6.320722703E0,5.237389167E1,4.899561667E0,2.374687891E1,4.148661196E-1,3.927999878E1,2.500000000E0,2.839999962E1
7.320722703E0,5.237390333E1,4.899565000E0,2.394689733E1,6.573002934E-1,1.381999969E1,2.500000000E0,2.810000038E1
8.320722703E0,5.237390667E1,4.899571667E0,2.414690591E1,8.652480841E-1,4.556999969E1,2.500000000E0,2.870000076E1
9.320722703E0,5.237390667E1,4.899583333E0,2.424691268E1,7.437736392E-1,8.526000214E1,2.500000000E0,2.839999962E1
1.032072270E1,5.237390833E1,4.899591667E0,2.434691987E1,6.238433123E-1,6.134999847E1,2.599999905E0,2.920000076E1
1.132072270E1,5.237391500E1,4.899605000E0,2.444693703E1,7.782599926E-1,4.991999817E1,2.599999905E0,2.929999924E1
1.232072270E1,5.237391500E1,4.899606667E0,2.454693800E1,9.625305533E-1,7.176000214E1,2.500000000E0,2.179999924E1
1.332072270E1,5.237392333E1,4.899590000E0,2.434694011E1,6.444322467E-1,4.700000000E1,2.299999952E0,2.110000038E1
1.432072270E1,5.237392333E1,4.899578333E0,2.424693334E1,7.098019719E-1,5.513000107E1,2.200000048E0,2.089999962E1
1.532072270E1,5.237393167E1,4.899606667E0,2.404696156E1,7.571563721E-1,5.013000107E1,2.200000048E0,2.110000038E1
1.582072270E1,5.237391833E1,4.899616667E0,2.364694852E1,6.156077981E-1,6.070000076E1,2.099999905E0,2.120000076E1
1.632072270E1,5.237391667E1,4.899618333E0,2.334694713E1,3.711147308E-1,3.400000000E1,2.099999905E0,2.110000038E1
1.682072270E1,5.237392000E1,4.899616667E0,2.334695087E1,4.066305459E-1,2.923999977E1,2.099999905E0,2.139999962E1
1.732072270E1,5.237392167E1,4.899620000E0,2.324695516E1,4.519261122E-1,3.400000000E1,2.000000000E0,2.160000038E1
1.832072270E1,5.237392833E1,4.899626667E0,2.314696845E1,5.569294691E-1,3.400000000E1,2.000000000E0,2.229999924E1
1.932072270E1,5.237393500E1,4.899633333E0,2.314698175E1,6.001660824E-1,3.400000000E1,2.000000000E0,2.310000038E1
2.032072270E1,5.237395167E1,4.899653333E0,2.304701691E1,5.754594207E-1,3.400000000E1,2.000000000E0,2.429999924E1
2.132072270E1,5.237396000E1,4.899660000E0,2.294703256E1,5.898716450E-1,3.400000000E1,2.000000000E0,2.560000038E1
2.232072270E1,5.237397000E1,4.899671667E0,2.294705346E1,6.156077981E-1,3.400000000E1,2.000000000E0,2.720000076E1
2.332072270E1,5.237397833E1,4.899681667E0,2.284707105E1,6.428880692E-1,3.400000000E1,2.000000000E0,2.889999962E1
2.432072270E1,5.237399667E1,4.899701667E0,2.274710857E1,6.953897476E-1,3.400000000E1,2.000000000E0,3.060000038E1
2.532072270E1,5.237400333E1,4.899710000E0,2.264712283E1,7.602447271E-1,3.400000000E1,2.000000000E0,3.240000153E1
2.632072270E1,5.237401333E1,4.899720000E0,2.264714276E1,0.000000000E0,3.400000000E1,2.000000000E0,3.429999924E1
2.732072270E1,5.237402167E1,4.899730000E0,2.264716035E1,0.000000000E0,3.400000000E1,2.000000000E0,3.629999924E1
2.832072270E1,5.237403167E1,4.899740000E0,2.274718029E1,0.000000000E0,3.400000000E1,2.000000000E0,3.820000076E1
2.932072270E1,5.237404167E1,4.899750000E0,2.244720022E1,9.192938805E-1,3.200000000E1,2.000000000E0,4.009999847E1
3.032072270E1,5.237405500E1,4.899765000E0,2.204722778E1,9.393680692E-1,3.200000000E1,2.000000000E0,4.140000153E1
3.132072270E1,5.237406833E1,4.899778333E0,2.164725436E1,9.578980803E-1,3.200000000E1,2.000000000E0,4.070000076E1
3.232072270E1,5.237408167E1,4.899791667E0,2.084728095E1,9.656189084E-1,3.200000000E1,2.000000000E0,3.220000076E1
3.332072270E1,5.237409833E1,4.899808333E0,1.994731418E1,9.630452991E-1,3.200000000E1,2.000000000E0,2.860000038E1
3.432072270E1,5.237410833E1,4.899818333E0,1.894733412E1,9.429711103E-1,3.200000000E1,2.099999905E0,2.639999962E1
3.532072270E1,5.237412000E1,4.899830000E0,1.784735738E1,9.419416785E-1,3.200000000E1,2.099999905E0,2.689999962E1
3.632072270E1,5.237413167E1,4.899843333E0,1.654738161E1,9.465741515E-1,3.400000000E1,2.099999905E0,2.310000038E1
3.732072270E1,5.237414500E1,4.899856667E0,1.534740819E1,9.445152879E-1,3.400000000E1,2.099999905E0,2.360000038E1
3.832072270E1,5.237415667E1,4.899871667E0,1.414743339E1,9.594421983E-1,3.400000000E1,2.099999905E0,2.400000000E1
3.932072270E1,5.237417333E1,4.899888333E0,1.274746662E1,9.764280319E-1,3.400000000E1,2.099999905E0,2.089999962E1
4.032072270E1,5.237418500E1,4.899901667E0,1.154749085E1,1.000105262E0,3.400000000E1,2.000000000E0,2.150000000E1
4.132072270E1,5.237419667E1,4.899915000E0,1.044751508E1,1.000620008E0,3.400000000E1,2.000000000E0,2.220000076E1
4.232072270E1,5.237420833E1,4.899926667E0,9.647538342E0,9.856930375E-1,3.400000000E1,2.000000000E0,2.320000076E1
4.332072270E1,5.237421833E1,4.899938333E0,8.747559248E0,9.651041627E-1,3.400000000E1,2.000000000E0,2.279999924E1
4.432072270E1,5.237422833E1,4.899950000E0,7.747580155E0,9.661335945E-1,3.400000000E1,2.000000000E0,2.350000000E1
4.532072270E1,5.237423833E1,4.899960000E0,6.747600094E0,9.440005422E-1,3.400000000E1,1.899999976E0,2.370000076E1
4.632072270E1,5.237424667E1,4.899970000E0,5.547617678E0,9.367944598E-1,3.400000000E1,1.899999976E0,2.260000038E1
4.732072270E1,5.237425833E1,4.899981667E0,4.247640940E0,9.450299740E-1,3.400000000E1,2.000000000E0,2.229999924E1
4.832072270E1,5.237427000E1,4.899995000E0,3.347665170E0,9.239264131E-1,3.400000000E1,1.899999976E0,2.179999924E1
4.932072270E1,5.237428000E1,4.900005000E0,2.247685110E0,9.084846973E-1,3.400000000E1,1.899999976E0,2.050000000E1
5.032072270E1,5.237429000E1,4.900016667E0,1.447706017E0,8.657627702E-1,3.400000000E1,1.899999976E0,2.070000076E1
5.132072270E1,5.237429833E1,4.900026667E0,4.477236002E-1,8.348794580E-1,3.400000000E1,1.899999976E0,2.139999962E1
5.232072270E1,5.237430833E1,4.900036667E0,-3.522564602E-1,8.168641925E-1,3.400000000E1,1.899999976E0,2.089999962E1
5.332072270E1,5.237431667E1,4.900046667E0,-1.052238877E0,8.106874824E-1,3.400000000E1,1.899999976E0,2.089999962E1
5.432072270E1,5.237432500E1,4.900055000E0,-1.652222260E0,7.952458262E-1,3.400000000E1,1.899999976E0,2.110000038E1
5.532072270E1,5.237432833E1,4.900060000E0,-2.452214646E0,8.070844412E-1,3.400000000E1,1.899999976E0,2.150000000E1
5.632072270E1,5.237433333E1,4.900065000E0,-2.752204676E0,7.808336020E-1,3.400000000E1,2.000000000E0,2.189999962E1
5.732072270E1,5.237434167E1,4.900073333E0,-3.052188060E0,0.000000000E0,3.400000000E1,2.000000000E0,2.250000000E1
5.832072270E1,5.237434833E1,4.900081667E0,-3.452173799E0,7.411999702E-1,3.400000000E1,2.000000000E0,2.329999924E1
5.932072270E1,5.237435167E1,4.900085000E0,-3.852167153E0,7.170080543E-1,3.400000000E1,2.000000000E0,2.139999962E1
