"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.602458331E-3,-1.190175018E0,3.674858093E0,1.052865555E1
1.160945834E-2,-1.040037231E0,3.652404785E0,1.013198044E1
2.161545833E-2,-9.737251282E-1,3.598965912E0,9.475296021E0
3.162245834E-2,-9.951306152E-1,3.473377075E0,8.711733856E0
4.162845833E-2,-1.146316223E0,3.190016327E0,8.356522522E0
5.163545834E-2,-1.157991943E0,2.951113129E0,8.363108826E0
6.164145833E-2,-8.202941895E-1,2.867886200E0,8.338709564E0
7.164845833E-2,-4.384382629E-1,2.780018921E0,8.330027618E0
8.165545834E-2,-1.237925720E-1,2.586920471E0,8.403375092E0
9.166145833E-2,9.894424438E-2,2.444716187E0,8.384514313E0
1.016684583E-1,2.050735474E-1,2.373314667E0,8.481811981E0
1.116744583E-1,2.933898926E-1,2.282303925E0,8.803343353E0
1.216814583E-1,3.692820740E-1,2.253414001E0,9.131161652E0
1.316884583E-1,1.833686829E-1,2.168091431E0,9.158105621E0
1.416944583E-1,-2.305206299E-1,2.099683685E0,9.163344727E0
1.517014583E-1,-6.927593994E-1,2.027234344E0,9.342821503E0
1.617074583E-1,-7.183561707E-1,1.892065430E0,9.558223572E0
1.717144583E-1,-5.110372925E-1,1.851350098E0,9.862391052E0
1.817214583E-1,-4.550537109E-2,1.904040527E0,1.008692413E1
1.917274583E-1,2.577639771E-1,2.176923065E0,1.002824615E1
2.017344583E-1,2.731819153E-1,2.180066528E0,1.025547363E1
2.117404583E-1,1.933978271E-1,1.983974304E0,1.051922516E1
2.217474583E-1,1.601669312E-1,1.811383209E0,1.062984512E1
2.317534583E-1,3.011737061E-1,1.666634216E0,1.051248917E1
2.417604583E-1,4.857398987E-1,1.187330933E0,1.004037094E1
2.517674583E-1,7.080276489E-1,6.727011108E-1,9.398206329E0
2.617734583E-1,9.584568787E-1,3.586541748E-1,8.944050751E0
2.717804583E-1,1.039588165E0,2.031275940E-1,8.618028717E0
2.817864583E-1,1.412462769E0,9.310638428E-2,8.227640533E0
2.917934583E-1,2.140698395E0,-5.643264771E-2,7.748037872E0
3.017994583E-1,2.852318573E0,-4.751119995E-1,7.512727203E0
3.118064583E-1,3.504362640E0,-1.050665131E0,7.245682526E0
3.218134583E-1,3.681444397E0,-1.492845612E0,6.876250763E0
3.318194583E-1,3.033741302E0,-2.021546173E0,5.905519409E0
3.418264583E-1,1.789977722E0,-2.549947357E0,4.625082092E0
3.518324583E-1,1.366208954E0,-2.707120514E0,4.937931519E0
3.618394583E-1,6.978488159E-1,-2.717149658E0,5.556595001E0
3.718464583E-1,1.190025330E-1,-2.915487213E0,6.137836304E0
