"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.911245834E-2,-3.119233847E-1,1.680937260E-1,-1.032629609E-1
2.911845833E-2,-3.475608230E-1,6.427681446E-2,-4.876028746E-2
3.912545834E-2,-3.704456389E-1,-7.077714056E-2,4.971568286E-2
4.913245833E-2,-3.579580188E-1,-2.431920767E-1,1.403876990E-1
5.913845833E-2,-3.709339797E-1,-3.471738696E-1,1.811612248E-1
6.914545834E-2,-4.137417376E-1,-3.481516242E-1,1.741147041E-1
7.915145833E-2,-4.646179676E-1,-2.587543726E-1,1.256558299E-1
8.915845834E-2,-5.294004083E-1,-2.077997774E-1,7.365778089E-2
9.916545833E-2,-5.594395399E-1,-2.590858340E-1,3.500812501E-2
1.091714583E-1,-5.336275697E-1,-3.479291499E-1,-2.990689129E-3
1.191784583E-1,-4.912398756E-1,-4.768964350E-1,-2.747126482E-2
1.291844583E-1,-4.640074670E-1,-6.205418110E-1,-2.672824077E-2
1.391914583E-1,-4.694576263E-1,-7.136861086E-1,6.688037422E-3
1.491974583E-1,-4.754713476E-1,-7.808603644E-1,9.760810435E-2
1.592044583E-1,-4.612599313E-1,-8.573881984E-1,1.740493476E-1
1.692114583E-1,-3.864797652E-1,-8.810402751E-1,2.162150294E-1
1.792174583E-1,-3.660362661E-1,-8.078457117E-1,1.464330107E-1
1.892244583E-1,-3.725107610E-1,-6.575564742E-1,7.416051626E-2
1.992304583E-1,-3.314855397E-1,-5.749998093E-1,3.652393073E-2
2.092374583E-1,-2.451610267E-1,-5.718740225E-1,2.734578215E-2
2.192434583E-1,-1.356222779E-1,-5.245373845E-1,4.316522554E-2
2.292504583E-1,-7.196118683E-2,-4.703303874E-1,9.283998609E-2
2.392574583E-1,-7.867954671E-2,-4.756809473E-1,1.426964998E-1
2.492634583E-1,-1.500552148E-1,-4.682006240E-1,1.456803977E-1
2.592704583E-1,-2.382761538E-1,-3.623724580E-1,1.379479170E-1
2.692764583E-1,-3.206096590E-1,-2.346630841E-1,1.670436561E-1
2.792834583E-1,-4.046398401E-1,-8.368767053E-2,1.664958298E-1
2.892904583E-1,-4.900956154E-1,6.269883364E-2,7.570894808E-2
2.992964583E-1,-6.023055315E-1,2.899517119E-1,-1.240699366E-1
3.093034583E-1,-7.785589099E-1,6.746823788E-1,-4.320695698E-1
3.193094583E-1,-1.008954525E0,1.129785657E0,-7.875640392E-1
3.293164583E-1,-1.383316040E0,1.659848571E0,-1.018716693E0
3.393234583E-1,-1.838963747E0,1.934770465E0,-1.105514646E0
3.493294583E-1,-2.232761383E0,2.104515553E0,-1.128121138E0
3.593364583E-1,-2.500577927E0,2.307739973E0,-1.085920691E0
3.693424583E-1,-2.642759800E0,2.429152012E0,-1.047288895E0
3.793494583E-1,-2.673610449E0,2.473969460E0,-1.064970374E0
3.893554583E-1,-2.632512331E0,2.538304329E0,-1.166384816E0
3.993630833E-1,-2.574177742E0,2.579912424E0,-1.339943647E0
4.093700833E-1,-2.546890974E0,2.646451473E0,-1.388293266E0
4.193760833E-1,-2.617603779E0,2.738040447E0,-1.290688157E0
4.293830833E-1,-2.854812622E0,2.782686234E0,-1.112858653E0
4.393890833E-1,-3.244581699E0,2.782382965E0,-9.772576690E-1
4.493960833E-1,-3.619801998E0,2.754596233E0,-9.185871482E-1
4.594030833E-1,-3.922393799E0,2.712442875E0,-8.810001016E-1
4.694090833E-1,-4.147666931E0,2.589303970E0,-8.638642430E-1
4.794160833E-1,-4.159486294E0,2.396369219E0,-9.675719738E-1
4.894220833E-1,-3.992490053E0,2.155251503E0,-1.033753276E0
4.994290833E-1,-3.653947830E0,1.908200383E0,-9.960460067E-1
5.094350833E-1,-3.235719442E0,1.923681974E0,-9.262375236E-1
5.194420833E-1,-2.994086981E0,2.133886099E0,-9.130407572E-1
5.294490833E-1,-2.978383064E0,2.465687752E0,-9.659335613E-1
5.394550833E-1,-3.215261221E0,2.790668964E0,-1.055351377E0
5.494620833E-1,-3.581693888E0,2.962130547E0,-1.198199630E0
5.594680833E-1,-3.732351065E0,2.853018999E0,-1.308856606E0
5.694750833E-1,-3.620944738E0,2.475244284E0,-1.247458100E0
5.794820833E-1,-3.336834669E0,1.814273357E0,-9.955908060E-1
5.894880833E-1,-2.899387360E0,1.236076713E0,-7.385885715E-1
