"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.911245834E-2,-1.900773396E-1,5.540529191E-3,7.716161191E-1
2.911845833E-2,-1.500999992E-1,-3.294145882E-2,-2.260182738E-2
3.912545834E-2,-2.460669145E-1,-2.278607315E-1,-6.354724735E-1
4.913245833E-2,-3.886098260E-1,-4.770819265E-1,-7.747736156E-1
5.913845833E-2,-2.510745431E-1,-6.036139190E-1,-7.678604525E-1
6.914545834E-2,1.146446762E-1,-6.243958005E-1,-8.310793787E-1
7.915145833E-2,4.194920417E-1,-7.378168738E-1,-7.932601726E-1
8.915845834E-2,6.773398532E-1,-8.761099559E-1,-7.869919574E-1
9.916545833E-2,8.117219520E-1,-9.180830240E-1,-8.007212198E-1
1.091714583E-1,8.608563244E-1,-9.559302968E-1,-6.072725219E-1
1.191784583E-1,9.427426328E-1,-9.633626926E-1,-2.464975619E-1
1.291844583E-1,8.372872214E-1,-9.655828804E-1,-9.370689332E-2
1.391914583E-1,4.815678007E-1,-1.018473870E0,-1.366073298E-1
1.491974583E-1,-9.061638404E-2,-1.020441458E0,-6.285698354E-2
1.592044583E-1,-4.455468692E-1,-1.101054096E0,1.345672363E-1
1.692114583E-1,-3.913784096E-1,-1.146073856E0,3.550897121E-1
1.792174583E-1,-1.700056389E-1,-1.138385060E0,6.895709127E-1
1.892244583E-1,2.517255940E-1,-8.997733453E-1,6.836494374E-1
1.992304583E-1,2.823754376E-1,-6.918910879E-1,7.481758010E-1
2.092374583E-1,2.118869789E-1,-7.907078630E-1,1.017997321E0
2.192434583E-1,6.220436119E-2,-9.813513592E-1,1.221154736E0
2.292504583E-1,7.217873351E-2,-1.097399294E0,1.222534094E0
2.392574583E-1,2.124797769E-1,-1.382409250E0,9.371086943E-1
2.492634583E-1,3.452599214E-1,-1.931652249E0,3.222944337E-1
2.592704583E-1,5.710104293E-1,-2.326616171E0,-2.496883875E-1
2.692764583E-1,6.989994018E-1,-2.520373017E0,-6.195867580E-1
2.792834583E-1,8.170073234E-1,-2.611265938E0,-9.646806550E-1
2.892904583E-1,1.443218100E0,-2.682384160E0,-1.445783712E0
2.992964583E-1,2.170961390E0,-2.883167898E0,-1.831197669E0
3.093034583E-1,2.946239767E0,-3.371633769E0,-2.055345418E0
3.193094583E-1,3.492150146E0,-3.793579668E0,-2.404967399E0
3.293164583E-1,3.489853359E0,-4.141090511E0,-2.990186563E0
3.393234583E-1,2.551426118E0,-4.560307222E0,-4.394345115E0
3.493294583E-1,1.914659071E0,-4.736201994E0,-4.992169706E0
3.593364583E-1,1.732291139E0,-4.501915757E0,-4.313699732E0
3.693424583E-1,1.237556761E0,-4.382429075E0,-3.826771095E0
3.793494583E-1,1.119049926E0,-4.196691977E0,-3.144253094E0
3.893554583E-1,1.582366629E0,-3.765820888E0,-2.070256988E0
3.993630833E-1,2.417359403E0,-3.651062264E0,-1.393354068E0
4.093700833E-1,2.281099106E0,-3.826517618E0,-1.267488658E0
4.193760833E-1,1.066087600E0,-3.875787427E0,-1.628008679E0
4.293830833E-1,-1.315098734E-1,-4.184328917E0,-2.477582801E0
4.393890833E-1,-7.768142939E-1,-4.436778944E0,-3.513749760E0
4.493960833E-1,-3.939231178E-1,-4.254211330E0,-4.334898228E0
4.594030833E-1,-3.076647002E-1,-4.367515166E0,-4.353752575E0
4.694090833E-1,-4.849268433E-1,-4.783390194E0,-4.088721678E0
4.794160833E-1,5.363010648E-1,-4.632562143E0,-3.277695910E0
4.894220833E-1,1.377610732E0,-3.660639419E0,-1.569455831E0
4.994290833E-1,9.408903810E-1,-2.895860157E0,6.240148544E-3
5.094350833E-1,3.253536969E-2,-3.159003280E0,1.711999839E0
5.194420833E-1,-7.239642352E-1,-2.942091752E0,2.273069417E0
5.294490833E-1,-1.265075512E0,-1.907933311E0,1.265922189E0
5.394550833E-1,-1.527310855E0,-1.791369652E0,9.655624151E-2
5.494620833E-1,-1.333610727E0,-2.099986863E0,-1.055932887E0
5.594680833E-1,-1.418416696E0,-1.942964857E0,-1.484616240E0
5.694750833E-1,-2.092515584E0,-1.625037709E0,-3.609901375E-1
5.794820833E-1,-3.123775560E0,-1.132177656E0,1.144902366E0
5.894880833E-1,-4.420270500E0,-1.864916807E-1,2.806126154E0
5.994950833E-1,-4.366840398E0,8.613580155E-1,4.108400483E0
6.095010833E-1,-3.957579741E0,1.311903523E0,4.268361007E0
6.195080833E-1,-4.592862765E0,1.818994530E0,4.120013638E0
6.295140833E-1,-5.731529660E0,1.871508374E0,3.670735222E0
6.395210833E-1,-6.469438335E0,1.576243279E0,2.965418926E0
6.495280833E-1,-5.827850259E0,1.731088659E0,2.341723915E0
6.595340833E-1,-5.434151967E0,2.406452592E0,2.350719856E0
6.695410833E-1,-5.593268738E0,2.913141895E0,2.860235995E0
6.795470833E-1,-5.626906600E0,3.195493414E0,3.332837200E0
6.895540833E-1,-5.328434308E0,3.490056843E0,3.553658761E0
6.995610833E-1,-5.237482038E0,4.324767927E0,4.687269570E0
7.095670833E-1,-4.090145475E0,5.443758942E0,5.855595297E0
7.195740833E-1,-2.907479451E0,5.413817105E0,6.044829322E0
7.295800833E-1,-2.606084136E0,5.345407020E0,6.038460535E0
7.395870833E-1,-2.250927765E0,5.203787457E0,5.140039358E0
