"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.243305206E-2,5.236238859E1,4.925875729E0,1.495165110E0,NaN,NaN,1.150000000E2,2.969423676E1
6.308000088E-1,5.236235175E1,4.925920901E0,2.128552675E0,NaN,NaN,3.500000000E1,2.194654846E1
6.308000088E-1,5.236235100E1,4.925921658E0,2.320333362E0,NaN,NaN,3.500000000E1,1.771284485E1
1.790973067E0,5.236238936E1,4.926083771E0,2.449558973E0,NaN,NaN,3.500000000E1,1.646560097E1
2.757498384E0,5.236241078E1,4.926180448E0,8.725852966E-1,NaN,NaN,1.881514120E1,8.000000000E0
2.992497563E0,5.236238316E1,4.926402066E0,2.183169174E1,6.750000000E0,1.567968750E2,2.953446996E1,2.400000000E1
3.992497444E0,5.236240110E1,4.926331490E0,1.150356293E0,6.750000000E0,1.617187500E2,2.209601322E1,4.000000000E0
4.992497921E0,5.236237847E1,4.926339788E0,2.551662445E0,4.760000229E0,6.046875000E1,9.429970097E0,4.000000000E0
5.992498040E0,5.236242796E1,4.926222023E0,1.930934906E0,9.900000095E-1,3.515625000E-1,7.138299028E0,4.000000000E0
6.992496848E0,5.236245441E1,4.926201822E0,2.380214691E0,9.700000286E-1,4.464843750E1,5.892990856E0,4.000000000E0
7.992517591E0,5.236246509E1,4.926223448E0,1.996303558E0,1.330000043E0,5.308593750E1,4.942104930E0,4.000000000E0
8.992514610E0,5.236247360E1,4.926238619E0,6.379661560E-1,1.330000043E0,5.343750000E1,4.700622840E0,4.000000000E0
9.992511988E0,5.236246568E1,4.926282791E0,6.173973083E-1,1.330000043E0,8.015625000E1,4.437042265E0,3.000000000E0
1.099251115E1,5.236246841E1,4.926293353E0,-9.048843384E-2,9.100000262E-1,7.171875000E1,3.988347828E0,3.000000000E0
1.199251199E1,5.236246912E1,4.926315397E0,-9.730567932E-1,7.599999905E-1,7.101562500E1,3.620728821E0,3.000000000E0
1.299251330E1,5.236247218E1,4.926331742E0,-1.515537262E0,1.159999967E0,7.136718750E1,3.591756283E0,3.000000000E0
1.399251437E1,5.236248098E1,4.926342806E0,-1.645053864E0,1.159999967E0,7.136718750E1,3.750440415E0,3.000000000E0
1.499251163E1,5.236248098E1,4.926342806E0,-1.645053795E0,1.159999967E0,NaN,4.650342100E0,3.492685985E0
1.599250972E1,5.236249293E1,4.926359118E0,-2.251560064E0,1.009999990E0,7.136719863E1,4.617389258E0,3.536135387E0
1.699250674E1,5.236250170E1,4.926370059E0,-2.945896000E0,1.009999990E0,6.644532326E1,4.610632042E0,3.544941354E0
1.799250674E1,5.236250770E1,4.926381906E0,-2.899204136E0,7.900000215E-1,6.609375840E1,4.610632056E0,3.544941337E0
1.899250376E1,5.236251390E1,4.926398528E0,-3.211154786E0,1.039999962E0,5.941407291E1,4.610632066E0,3.544941324E0
1.999249876E1,5.236252153E1,4.926424565E0,-3.924106354E0,1.500000000E0,5.625001450E1,4.610632076E0,3.544941310E0
2.099249732E1,5.236252266E1,4.926444518E0,-4.204379848E0,1.240000010E0,7.031251357E1,4.610632079E0,3.544941306E0
2.199249887E1,5.236252510E1,4.926464547E0,-4.806735804E0,1.240000010E0,7.277345127E1,4.610632081E0,3.544941304E0
2.299250019E1,5.236252804E1,4.926481243E0,-5.283176250E0,1.149999976E0,7.207032522E1,4.610632085E0,3.544941299E0
2.399250197E1,5.236253248E1,4.926501724E0,-6.357028767E0,1.269999981E0,6.714845110E1,4.610632090E0,3.544941292E0
2.499250424E1,5.236254115E1,4.926520708E0,-7.106174248E0,1.399999976E0,5.484376331E1,4.610632104E0,3.544941274E0
2.599250519E1,5.236254551E1,4.926538035E0,-7.153720661E0,1.269999981E0,5.589844972E1,4.610632112E0,3.544941263E0
2.699250698E1,5.236254839E1,4.926557237E0,-6.925205044E0,1.220000029E0,5.906251216E1,4.610632116E0,3.544941258E0
