"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.485533333E-2,-2.227127075E1,-8.522933960E0,-3.234916687E1
2.486233333E-2,-2.215175629E1,-8.430686951E0,-3.226509094E1
3.486833333E-2,-2.202778625E1,-8.222293854E0,-3.215763855E1
4.487533333E-2,-2.178082275E1,-8.039600372E0,-3.213102722E1
5.488233333E-2,-2.166707611E1,-7.677196503E0,-3.247534180E1
6.488933333E-2,-2.171652985E1,-7.858295441E0,-3.248777771E1
7.489533333E-2,-2.164916992E1,-7.889896393E0,-3.261389160E1
8.490233333E-2,-2.173603821E1,-7.661945343E0,-3.254614258E1
9.490933333E-2,-2.157352448E1,-7.750274658E0,-3.281661987E1
1.049163333E-1,-2.170003510E1,-7.659782410E0,-3.296307373E1
1.149233333E-1,-2.151908875E1,-7.633567810E0,-3.299415588E1
1.249293333E-1,-2.129321289E1,-7.385047913E0,-3.321347046E1
1.349363333E-1,-2.114961243E1,-7.039321899E0,-3.313206482E1
1.449433333E-1,-2.113790131E1,-6.988277435E0,-3.361569214E1
1.549503333E-1,-2.102101898E1,-6.833263397E0,-3.344857788E1
1.649563333E-1,-2.068644714E1,-6.489063263E0,-3.333480835E1
1.749633333E-1,-2.026263428E1,-6.158359528E0,-3.419998169E1
1.849702083E-1,-1.998789215E1,-5.954380035E0,-3.464892578E1
1.949772083E-1,-1.953695679E1,-5.724365234E0,-3.477836609E1
2.049832083E-1,-1.906570435E1,-5.174209595E0,-3.494227600E1
2.149902083E-1,-1.839263153E1,-4.707126617E0,-3.529669189E1
2.249972083E-1,-1.796272278E1,-4.489307404E0,-3.574215698E1
2.350042083E-1,-1.762409973E1,-3.732574463E0,-3.593074036E1
2.450112083E-1,-1.692626953E1,-3.605533600E0,-3.629873657E1
2.550172083E-1,-1.617134094E1,-2.798107147E0,-3.673538208E1
2.650242083E-1,-1.562055206E1,-1.869728088E0,-3.718399048E1
2.750312083E-1,-1.460906219E1,-8.052597046E-1,-3.769029236E1
2.850382083E-1,-1.382109833E1,6.964378357E-1,-3.758714294E1
2.950442083E-1,-1.298036194E1,2.230815887E0,-3.777459717E1
3.050512083E-1,-1.220870972E1,3.447975159E0,-3.802053833E1
3.150582083E-1,-1.142250824E1,4.520465851E0,-3.837371826E1
3.250652083E-1,-1.078172302E1,5.373767853E0,-3.895594788E1
3.350722083E-1,-1.016867828E1,6.534080505E0,-3.897639465E1
3.450782083E-1,-9.358398438E0,7.761928558E0,-3.896273804E1
3.550852083E-1,-8.470741272E0,8.779518127E0,-3.868142700E1
3.650922083E-1,-8.098564148E0,1.008061981E1,-3.863919067E1
